# WASP-80b emission data from Eureka pipeline
# Format: wavelength(um)  delta_wavelength(um)  eclipse_depth  err_pos  err_neg  response_mode  offset_group
# Eclipse depth and uncertainties in fraction
# Data sorted by wavelength (lowest to highest)
# F322W2: NIRCam 2.46-3.94 um, F444W: NIRCam 3.90-4.96 um, LRS: MIRI 5.25-11.75 um
# ================================================================================
3.3875000 0.007500000 0.00018150997 0.00007133614 0.00007250212 boxcar F322W2
3.4025000 0.007500000 0.00026420694 0.00007136876 0.00007171296 boxcar F322W2
3.4175000 0.007500000 0.00023572525 0.00007247761 0.00007413313 boxcar F322W2
3.4325000 0.007500000 0.00022462867 0.00007605002 0.00007698846 boxcar F322W2
3.4475000 0.007500000 0.00026676690 0.00007092988 0.00006809071 boxcar F322W2
3.4625000 0.007500000 0.00020644203 0.00007414949 0.00007286590 boxcar F322W2
3.4775000 0.007500000 0.00013190492 0.00007662478 0.00009071626 boxcar F322W2
3.4925000 0.007500000 0.00023530107 0.00006863117 0.00007113059 boxcar F322W2
3.5075000 0.007500000 0.00016888800 0.00008088253 0.00007844409 boxcar F322W2
3.5225000 0.007500000 0.00026058816 0.00007480368 0.00007861461 boxcar F322W2
3.5375000 0.007500000 0.00030049362 0.00007248642 0.00007317593 boxcar F322W2
3.5525000 0.007500000 0.00025705822 0.00007294931 0.00007170022 boxcar F322W2
3.5675000 0.007500000 0.00021557561 0.00007164731 0.00007105950 boxcar F322W2
3.5825000 0.007500000 0.00022475221 0.00007137534 0.00007592705 boxcar F322W2
3.5975000 0.007500000 0.00017653125 0.00007515328 0.00007468294 boxcar F322W2
3.6125000 0.007500000 0.00033112944 0.00007485541 0.00008207936 boxcar F322W2
3.6275000 0.007500000 0.00024600129 0.00007213925 0.00007144191 boxcar F322W2
3.6425000 0.007500000 0.00032392123 0.00007905822 0.00008421378 boxcar F322W2
3.6575000 0.007500000 0.00040633289 0.00007932194 0.00007897270 boxcar F322W2
3.6725000 0.007500000 0.00045343828 0.00007106953 0.00006970162 boxcar F322W2
3.6875000 0.007500000 0.00035876280 0.00007453151 0.00007497663 boxcar F322W2
3.7025000 0.007500000 0.00044326729 0.00013995020 0.00009399040 boxcar F322W2
