CENTRALWAVELNG	BANDWIDTH	PL_TRANDEP	PL_TRANDEPERR1	PL_TRANDEPERR2	PL_TRANDEP_AUTHORS	PL_RATROR	PL_RATRORERR1	PL_RATRORERR2	PL_RATROR_AUTHORS	PL_RADJ	PL_RADJERR1	PL_RADJERR2	PL_RADJ_AUTHORS	PL_TRANMID	PL_TRANMIDERR1	PL_TRANMIDERR2	ST_RAD	ST_RADERR1	ST_RADERR2	ST_RAD_AUTHORS
3.0875	0.0075	2.0727	0.0083	-0.0083	Welbanks et al. 2024	0.14397	0.00029	-0.00029	Calculated	0.9387	0.0281	-0.0281	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.1025	0.0075	2.0769	0.0082	-0.0082	Welbanks et al. 2024	0.14411	0.00028	-0.00028	Calculated	0.9396	0.0281	-0.0281	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.1175	0.0075	2.0625	0.008	-0.008	Welbanks et al. 2024	0.14361	0.00028	-0.00028	Calculated	0.9363	0.028	-0.028	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.1325	0.0075	2.0603	0.0088	-0.0088	Welbanks et al. 2024	0.14354	0.00031	-0.00031	Calculated	0.9358	0.028	-0.028	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.1475	0.0075	2.0805	0.0073	-0.0073	Welbanks et al. 2024	0.14424	0.00025	-0.00025	Calculated	0.9404	0.0281	-0.0281	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.1625	0.0075	2.0593	0.0077	-0.0077	Welbanks et al. 2024	0.1435	0.00027	-0.00027	Calculated	0.9356	0.028	-0.028	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.1775	0.0075	2.0468	0.0078	-0.0078	Welbanks et al. 2024	0.14307	0.00027	-0.00027	Calculated	0.9328	0.0279	-0.0279	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.1925	0.0075	2.0441	0.0084	-0.0084	Welbanks et al. 2024	0.14297	0.00029	-0.00029	Calculated	0.9322	0.0279	-0.0279	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.2075	0.0075	2.0558	0.0073	-0.0073	Welbanks et al. 2024	0.14338	0.00025	-0.00025	Calculated	0.9348	0.028	-0.028	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.2225	0.0075	2.0478	0.0079	-0.0079	Welbanks et al. 2024	0.1431	0.00028	-0.00028	Calculated	0.933	0.0279	-0.0279	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.2375	0.0075	2.0587	0.0075	-0.0075	Welbanks et al. 2024	0.14348	0.00026	-0.00026	Calculated	0.9355	0.028	-0.028	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.2525	0.0075	2.0569	0.008	-0.008	Welbanks et al. 2024	0.14342	0.00028	-0.00028	Calculated	0.9351	0.028	-0.028	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.2675	0.0075	2.0587	0.0081	-0.0081	Welbanks et al. 2024	0.14348	0.00028	-0.00028	Calculated	0.9355	0.028	-0.028	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.2825	0.0075	2.0622	0.0073	-0.0073	Welbanks et al. 2024	0.1436	0.00025	-0.00025	Calculated	0.9363	0.028	-0.028	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.2975	0.0075	2.055	0.0075	-0.0075	Welbanks et al. 2024	0.14335	0.00026	-0.00026	Calculated	0.9346	0.028	-0.028	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.3125	0.0075	2.0635	0.0075	-0.0075	Welbanks et al. 2024	0.14365	0.00026	-0.00026	Calculated	0.9366	0.028	-0.028	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
