CENTRALWAVELNG	BANDWIDTH	PL_TRANDEP	PL_TRANDEPERR1	PL_TRANDEPERR2	PL_TRANDEP_AUTHORS	PL_RATROR	PL_RATRORERR1	PL_RATRORERR2	PL_RATROR_AUTHORS	PL_RADJ	PL_RADJERR1	PL_RADJERR2	PL_RADJ_AUTHORS	PL_TRANMID	PL_TRANMIDERR1	PL_TRANMIDERR2	ST_RAD	ST_RADERR1	ST_RADERR2	ST_RAD_AUTHORS
5.064	0.075	2.0065	0.0084	-0.0084	Welbanks et al. 2024	0.14165	0.0003	-0.0003	Calculated	0.9235	0.0276	-0.0276	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
5.214	0.075	2.0083	0.0091	-0.0091	Welbanks et al. 2024	0.14171	0.00032	-0.00032	Calculated	0.924	0.0277	-0.0277	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
5.365	0.075	2.0269	0.0064	-0.0064	Welbanks et al. 2024	0.14237	0.00022	-0.00022	Calculated	0.9282	0.0277	-0.0277	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
5.515	0.075	2.0248	0.0084	-0.0084	Welbanks et al. 2024	0.1423	0.00029	-0.0003	Calculated	0.9277	0.0278	-0.0278	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
5.665	0.075	2.0213	0.0084	-0.0084	Welbanks et al. 2024	0.14217	0.0003	-0.0003	Calculated	0.9269	0.0277	-0.0277	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
5.815	0.075	2.0386	0.0089	-0.0089	Welbanks et al. 2024	0.14278	0.00031	-0.00031	Calculated	0.9309	0.0279	-0.0279	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
5.966	0.075	2.0276	0.0068	-0.0068	Welbanks et al. 2024	0.14239	0.00024	-0.00024	Calculated	0.9284	0.0278	-0.0278	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
6.116	0.075	2.0241	0.0073	-0.0073	Welbanks et al. 2024	0.14227	0.00026	-0.00026	Calculated	0.9276	0.0277	-0.0277	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
6.266	0.075	2.0146	0.0086	-0.0086	Welbanks et al. 2024	0.14194	0.0003	-0.0003	Calculated	0.9254	0.0277	-0.0277	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
6.416	0.075	2.0581	0.0073	-0.0073	Welbanks et al. 2024	0.14346	0.00025	-0.00025	Calculated	0.9353	0.028	-0.028	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
6.567	0.075	2.1055	0.0106	-0.0106	Welbanks et al. 2024	0.1451	0.00036	-0.00037	Calculated	0.9461	0.0283	-0.0283	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
