CENTRALWAVELNG	BANDWIDTH	PL_TRANDEP	PL_TRANDEPERR1	PL_TRANDEPERR2	PL_TRANDEP_AUTHORS	PL_RATROR	PL_RATRORERR1	PL_RATRORERR2	PL_RATROR_AUTHORS	PL_RADJ	PL_RADJERR1	PL_RADJERR2	PL_RADJ_AUTHORS	PL_TRANMID	PL_TRANMIDERR1	PL_TRANMIDERR2	ST_RAD	ST_RADERR1	ST_RADERR2	ST_RAD_AUTHORS
6.717	0.075	2.0838	0.0069	-0.0069	Welbanks et al. 2024	0.14435	0.00024	-0.00024	Calculated	0.9412	0.0281	-0.0281	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
6.867	0.075	2.047	0.0122	-0.0122	Welbanks et al. 2024	0.14307	0.00043	-0.00043	Calculated	0.9328	0.028	-0.028	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
7.017	0.075	2.0536	0.0073	-0.0073	Welbanks et al. 2024	0.1433	0.00025	-0.00025	Calculated	0.9343	0.0279	-0.0279	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
7.168	0.075	2.1054	0.007	-0.007	Welbanks et al. 2024	0.1451	0.00024	-0.00024	Calculated	0.946	0.0283	-0.0283	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
7.318	0.075	2.101	0.0079	-0.0079	Welbanks et al. 2024	0.14495	0.00027	-0.00027	Calculated	0.945	0.0283	-0.0283	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
7.468	0.075	2.1386	0.0072	-0.0072	Welbanks et al. 2024	0.14624	0.00025	-0.00025	Calculated	0.9535	0.0285	-0.0285	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
7.618	0.075	2.1104	0.0088	-0.0088	Welbanks et al. 2024	0.14527	0.0003	-0.0003	Calculated	0.9472	0.0283	-0.0283	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
7.769	0.075	2.0797	0.0088	-0.0088	Welbanks et al. 2024	0.14421	0.0003	-0.00031	Calculated	0.9402	0.0281	-0.0281	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
7.919	0.075	2.0868	0.0099	-0.0099	Welbanks et al. 2024	0.14446	0.00034	-0.00034	Calculated	0.9418	0.0282	-0.0282	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
8.069	0.075	2.0609	0.0084	-0.0084	Welbanks et al. 2024	0.14356	0.00029	-0.00029	Calculated	0.936	0.028	-0.028	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
8.219	0.075	2.0849	0.0148	-0.0148	Welbanks et al. 2024	0.14439	0.00051	-0.00051	Calculated	0.9414	0.0283	-0.0283	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
8.37	0.075	2.0917	0.0095	-0.0095	Welbanks et al. 2024	0.14463	0.00033	-0.00033	Calculated	0.943	0.0282	-0.0282	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
8.52	0.075	2.093	0.0103	-0.0103	Welbanks et al. 2024	0.14467	0.00036	-0.00036	Calculated	0.9432	0.0283	-0.0283	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
8.67	0.075	2.0953	0.0097	-0.0097	Welbanks et al. 2024	0.14475	0.00033	-0.00034	Calculated	0.9438	0.0283	-0.0283	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
8.82	0.075	2.0832	0.0107	-0.0107	Welbanks et al. 2024	0.14433	0.00037	-0.00037	Calculated	0.941	0.0282	-0.0282	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
8.971	0.075	2.0975	0.0139	-0.0139	Welbanks et al. 2024	0.14483	0.00048	-0.00048	Calculated	0.9443	0.0284	-0.0284	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
9.121	0.075	2.0882	0.0121	-0.0121	Welbanks et al. 2024	0.14451	0.00042	-0.00042	Calculated	0.9422	0.0283	-0.0283	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
9.271	0.075	2.0764	0.0106	-0.0106	Welbanks et al. 2024	0.1441	0.00037	-0.00037	Calculated	0.9395	0.0281	-0.0281	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
9.421	0.075	2.0647	0.0119	-0.0119	Welbanks et al. 2024	0.14369	0.00041	-0.00041	Calculated	0.9368	0.0281	-0.0281	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
9.572	0.075	2.0677	0.0121	-0.0121	Welbanks et al. 2024	0.14379	0.00042	-0.00042	Calculated	0.9375	0.0281	-0.0281	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
9.722	0.075	2.0721	0.0123	-0.0123	Welbanks et al. 2024	0.14395	0.00043	-0.00043	Calculated	0.9385	0.0282	-0.0282	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
9.872	0.075	2.0453	0.0126	-0.0126	Welbanks et al. 2024	0.14301	0.00044	-0.00044	Calculated	0.9324	0.028	-0.028	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
10.022	0.075	2.0232	0.013	-0.013	Welbanks et al. 2024	0.14224	0.00046	-0.00046	Calculated	0.9274	0.0278	-0.0278	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
10.173	0.075	2.0623	0.0143	-0.0143	Welbanks et al. 2024	0.14361	0.0005	-0.0005	Calculated	0.9363	0.0281	-0.0281	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
10.323	0.075	2.0328	0.0196	-0.0196	Welbanks et al. 2024	0.14258	0.00069	-0.00069	Calculated	0.9296	0.0281	-0.0281	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
10.473	0.075	2.0411	0.0304	-0.0304	Welbanks et al. 2024	0.14287	0.00106	-0.00107	Calculated	0.9315	0.0287	-0.0287	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
10.623	0.075	2.0612	0.0196	-0.0196	Welbanks et al. 2024	0.14357	0.00068	-0.00068	Calculated	0.9361	0.0283	-0.0283	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
10.774	0.075	2.046	0.0211	-0.0211	Welbanks et al. 2024	0.14304	0.00074	-0.00074	Calculated	0.9326	0.0283	-0.0283	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
10.924	0.075	2.0358	0.0265	-0.0265	Welbanks et al. 2024	0.14268	0.00093	-0.00093	Calculated	0.9303	0.0284	-0.0284	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
11.074	0.075	2.0127	0.0283	-0.0283	Welbanks et al. 2024	0.14187	0.00099	-0.001	Calculated	0.925	0.0284	-0.0284	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
11.224	0.075	1.9658	0.0312	-0.0312	Welbanks et al. 2024	0.14021	0.00111	-0.00112	Calculated	0.9141	0.0282	-0.0282	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
11.375	0.075	1.9548	0.0311	-0.0311	Welbanks et al. 2024	0.13981	0.00111	-0.00112	Calculated	0.9116	0.0282	-0.0282	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
11.525	0.075	1.8948	0.0395	-0.0395	Welbanks et al. 2024	0.13765	0.00143	-0.00144	Calculated	0.8975	0.0284	-0.0284	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
11.675	0.075	1.9614	0.0362	-0.0362	Welbanks et al. 2024	0.14005	0.00129	-0.0013	Calculated	0.9131	0.0285	-0.0285	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
11.825	0.075	1.9268	0.0431	-0.0431	Welbanks et al. 2024	0.13881	0.00154	-0.00156	Calculated	0.905	0.0288	-0.0288	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
11.976	0.075	1.7705	0.0601	-0.0601	Welbanks et al. 2024	0.13306	0.00224	-0.00228	Calculated	0.8675	0.0298	-0.0298	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
12.126	0.075	1.7311	0.0627	-0.0627	Welbanks et al. 2024	0.13157	0.00236	-0.0024	Calculated	0.8578	0.03	-0.03	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
12.276	0.075	1.9018	0.0643	-0.0643	Welbanks et al. 2024	0.13791	0.00231	-0.00235	Calculated	0.8991	0.0308	-0.0308	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
12.426	0.075	1.7849	0.0787	-0.0787	Welbanks et al. 2024	0.1336	0.00291	-0.00298	Calculated	0.8711	0.0323	-0.0323	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
12.577	0.075	1.8489	0.1211	-0.1211	Welbanks et al. 2024	0.13597	0.00438	-0.00453	Calculated	0.8865	0.0393	-0.0393	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
12.727	0.075	1.8659	0.1095	-0.1095	Welbanks et al. 2024	0.1366	0.00395	-0.00407	Calculated	0.8906	0.0373	-0.0373	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
12.877	0.075	1.8398	0.1431	-0.1431	Welbanks et al. 2024	0.13564	0.00518	-0.00538	Calculated	0.8844	0.0434	-0.0434	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
13.027	0.075	1.7231	0.1336	-0.1336	Welbanks et al. 2024	0.13127	0.00499	-0.00519	Calculated	0.8558	0.0419	-0.0419	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
13.178	0.075	1.6693	0.1312	-0.1312	Welbanks et al. 2024	0.1292	0.00498	-0.00518	Calculated	0.8424	0.0416	-0.0416	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
13.328	0.075	1.6777	0.1649	-0.1649	Welbanks et al. 2024	0.12953	0.00622	-0.00653	Calculated	0.8445	0.0486	-0.0486	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
13.478	0.075	2.0458	0.1964	-0.1964	Welbanks et al. 2024	0.14303	0.00671	-0.00704	Calculated	0.9325	0.0527	-0.0527	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
13.628	0.075	1.7995	0.267	-0.267	Welbanks et al. 2024	0.13415	0.00961	-0.01035	Calculated	0.8746	0.0699	-0.0699	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
