CENTRALWAVELNG	BANDWIDTH	ESPECLIPDEP	ESPECLIPDEPERR1	ESPECLIPDEPERR2	ESPBRITEMP	ESPBRITEMPERR1	ESPBRITEMPERR2	OBS_DATE	OBS_DATEERR1	OBS_DATEERR2
5.125	0.25	0.0934	0.0091	-0.0091	965.0	31.0	-31.0			
5.375	0.25	0.0965	0.0054	-0.0054	953.0	18.0	-18.0			
5.625	0.25	0.0847	0.0061	-0.0061	892.0	21.0	-21.0			
5.875	0.25	0.1057	0.0045	-0.0045	941.0	14.0	-14.0			
6.125	0.25	0.1238	0.0046	-0.0046	976.0	14.0	-14.0			
6.375	0.25	0.112	0.006	-0.006	921.0	18.0	-18.0			
6.625	0.25	0.1086	0.0039	-0.0039	891.0	12.0	-12.0			
6.875	0.25	0.1263	0.0095	-0.0095	925.0	28.0	-28.0			
7.125	0.25	0.1234	0.0053	-0.0053	898.0	15.0	-15.0			
7.375	0.25	0.129	0.0038	-0.0038	896.0	11.0	-11.0			
7.625	0.25	0.1396	0.0074	-0.0074	910.0	20.0	-20.0			
7.875	0.25	0.1558	0.0048	-0.0048	937.0	13.0	-13.0			
8.125	0.25	0.1535	0.005	-0.005	916.0	13.0	-13.0			
8.375	0.25	0.1556	0.0059	-0.0059	907.0	15.0	-15.0			
8.625	0.25	0.1598	0.0052	-0.0052	904.0	13.0	-13.0			
8.875	0.25	0.1717	0.0053	-0.0053	921.0	13.0	-13.0			
9.125	0.25	0.1741	0.0069	-0.0069	915.0	17.0	-17.0			
9.375	0.25	0.2033	0.0056	-0.0056	975.0	14.0	-14.0			
9.625	0.25	0.2083	0.0059	-0.0059	976.0	14.0	-14.0			
9.875	0.25	0.2135	0.0074	-0.0074	977.0	18.0	-18.0			
10.125	0.25	0.2234	0.0067	-0.0067	989.0	16.0	-16.0			
10.375	0.25	0.222	0.0096	-0.0096	976.0	23.0	-23.0			
10.625	0.25	0.2077	0.0088	-0.0088	932.0	21.0	-21.0			
10.875	0.25	0.2135	0.0139	-0.0139	936.0	33.0	-33.0			
11.125	0.25	0.2197	0.0154	-0.0154	941.0	36.0	-36.0			
11.375	0.25	0.228	0.0152	-0.0152	951.0	35.0	-35.0			
11.625	0.25	0.2494	0.0217	-0.0217	992.0	49.0	-49.0			
11.875	0.25	0.2547	0.0221	-0.0221	995.0	50.0	-50.0			
