# TWA 27b JWST emission spectrum
# NIRSpec (twa27b.txt): 3% assumed errors; errors not retrieved
# MIRI MRS (twa27-b_MIRI_MRS_bin100.txt): errors from data; offset_group MIRI is a free parameter
# Flux converted from Jy to erg/s/cm^2/cm (Flambda)
# lam_um  dlam_um  flux  flux_sigma  response_mode  offset_group
9.871274e-01  1.233000e-04  1.234925e-10  3.704775e-12  boxcar  NIRSpec
9.873740e-01  1.233000e-04  1.881353e-10  5.644059e-12  boxcar  NIRSpec
9.876206e-01  1.233000e-04  1.560023e-10  4.680069e-12  boxcar  NIRSpec
9.878672e-01  1.233000e-04  1.451094e-10  4.353282e-12  boxcar  NIRSpec
9.881138e-01  1.233000e-04  1.719473e-10  5.158419e-12  boxcar  NIRSpec
9.883604e-01  1.232750e-04  1.557941e-10  4.673822e-12  boxcar  NIRSpec
9.886069e-01  1.232750e-04  1.410752e-10  4.232255e-12  boxcar  NIRSpec
9.888535e-01  1.233000e-04  1.597269e-10  4.791806e-12  boxcar  NIRSpec
9.891001e-01  1.233000e-04  1.711390e-10  5.134170e-12  boxcar  NIRSpec
9.893467e-01  1.233000e-04  1.545379e-10  4.636137e-12  boxcar  NIRSpec
9.895933e-01  1.233000e-04  1.897506e-10  5.692519e-12  boxcar  NIRSpec
9.898399e-01  1.233000e-04  2.075826e-10  6.227478e-12  boxcar  NIRSpec
9.900865e-01  1.233000e-04  1.931968e-10  5.795905e-12  boxcar  NIRSpec
9.903331e-01  1.233000e-04  7.722607e-11  2.316782e-12  boxcar  NIRSpec
9.905797e-01  1.233000e-04  1.426281e-11  4.278842e-13  boxcar  NIRSpec
9.908263e-01  1.233000e-04  6.373506e-11  1.912052e-12  boxcar  NIRSpec
9.910729e-01  1.233000e-04  1.641927e-10  4.925782e-12  boxcar  NIRSpec
9.913195e-01  1.233000e-04  1.848509e-10  5.545526e-12  boxcar  NIRSpec
9.915661e-01  1.233000e-04  1.391197e-10  4.173592e-12  boxcar  NIRSpec
9.918127e-01  1.232750e-04  1.162730e-10  3.488189e-12  boxcar  NIRSpec
9.920592e-01  1.232750e-04  6.887531e-11  2.066259e-12  boxcar  NIRSpec
9.923058e-01  1.233000e-04  1.013032e-10  3.039095e-12  boxcar  NIRSpec
9.925524e-01  1.233000e-04  1.612705e-10  4.838114e-12  boxcar  NIRSpec
9.927990e-01  1.233000e-04  1.452089e-10  4.356268e-12  boxcar  NIRSpec
