CENTRALWAVELNG	BANDWIDTH	PL_TRANDEP	PL_TRANDEPERR1	PL_TRANDEPERR2	PL_TRANDEP_AUTHORS	PL_RATROR	PL_RATRORERR1	PL_RATRORERR2	PL_RATROR_AUTHORS	PL_RADJ	PL_RADJERR1	PL_RADJERR2	PL_RADJ_AUTHORS	PL_TRANMID	PL_TRANMIDERR1	PL_TRANMIDERR2	ST_RAD	ST_RADERR1	ST_RADERR2	ST_RAD_AUTHORS
3.8975	0.0075	2.0387	0.0099	-0.0099	Welbanks et al. 2024	0.14278	0.00035	-0.00035	Calculated	0.9309	0.0279	-0.0279	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.9125	0.0075	2.01	0.0093	-0.0093	Welbanks et al. 2024	0.14177	0.00033	-0.00033	Calculated	0.9244	0.0277	-0.0277	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.9275	0.0075	2.0198	0.0081	-0.0081	Welbanks et al. 2024	0.14212	0.00028	-0.00029	Calculated	0.9266	0.0277	-0.0277	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.9425	0.0075	2.0236	0.0091	-0.0091	Welbanks et al. 2024	0.14225	0.00032	-0.00032	Calculated	0.9275	0.0278	-0.0278	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.9575	0.0075	2.0247	0.0083	-0.0083	Welbanks et al. 2024	0.14229	0.00029	-0.00029	Calculated	0.9277	0.0278	-0.0278	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.9725	0.0075	2.0261	0.0087	-0.0087	Welbanks et al. 2024	0.14234	0.00031	-0.00031	Calculated	0.928	0.0278	-0.0278	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
3.9875	0.0075	2.036	0.0087	-0.0087	Welbanks et al. 2024	0.14269	0.0003	-0.00031	Calculated	0.9303	0.0278	-0.0278	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
4.0025	0.0075	2.0256	0.0082	-0.0082	Welbanks et al. 2024	0.14232	0.00029	-0.00029	Calculated	0.9279	0.0278	-0.0278	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
4.0175	0.0075	2.0564	0.0084	-0.0084	Welbanks et al. 2024	0.1434	0.00029	-0.00029	Calculated	0.935	0.028	-0.028	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
4.0325	0.0075	2.0432	0.0087	-0.0087	Welbanks et al. 2024	0.14294	0.0003	-0.0003	Calculated	0.932	0.0279	-0.0279	Calculated				0.67	0.02	-0.02	Piaulet et al. 2021
