# wavelength_um flux_convolved
3.040576899783541e-01 1.061793285546627e+12
3.040728928628531e-01 1.333901150642924e+12
3.040880965074962e-01 2.072491956454549e+12
3.041033009123216e-01 1.899299463062926e+12
3.041185060773672e-01 1.580720107093333e+12
3.041337120026711e-01 7.058314177527747e+11
3.041489186882712e-01 1.439926722458885e+12
3.041641261342056e-01 1.344557720382553e+12
3.041793343405123e-01 1.736433695176751e+12
3.041945433072293e-01 2.879776994268312e+12
3.042097530343947e-01 2.323230473337568e+12
3.042249635220464e-01 1.695997953330506e+12
3.042401747702225e-01 1.923650969372734e+12
3.042553867789611e-01 5.042120778145439e+11
3.042705995483000e-01 1.146248928024954e+12
3.042858130782775e-01 6.665297026610646e+11
3.043010273689313e-01 1.871821667090971e+12
3.043162424202998e-01 2.326573304889093e+12
3.043314582324208e-01 1.347030389486927e+12
3.043466748053325e-01 7.704874073569237e+11
3.043618921390727e-01 1.037322392965930e+12
3.043771102336797e-01 2.520514377582546e+12
3.043923290891913e-01 2.085926289193157e+12
3.044075487056458e-01 2.049854128139678e+12
3.044227690830811e-01 2.258662681393941e+12
3.044379902215353e-01 2.078014693686945e+12
3.044532121210464e-01 3.095095287453001e+12
3.044684347816524e-01 2.356355108812796e+12
3.044836582033915e-01 1.004505256471503e+12
3.044988823863017e-01 1.537280713749561e+12
3.045141073304210e-01 2.662255934978779e+12
3.045293330357875e-01 2.607364565398087e+12
3.045445595024392e-01 1.671541099390001e+12
3.045597867304144e-01 1.925493956145418e+12
3.045750147197508e-01 1.680650969884455e+12
3.045902434704869e-01 4.424287413221512e+11
3.046054729826604e-01 1.882708190221630e+12
3.046207032563095e-01 2.730881041725712e+12
3.046359342914724e-01 2.030338319114219e+12
3.046511660881869e-01 1.976730102445905e+12
3.046663986464914e-01 1.474156199517554e+12
3.046816319664237e-01 2.248968093337909e+12
3.046968660480220e-01 2.024804663912313e+12
3.047121008913244e-01 1.614187611677793e+12
3.047273364963690e-01 1.565646968615819e+12
3.047425728631938e-01 1.664872778040635e+12
3.047578099918370e-01 1.376165235046007e+12
3.047730478823366e-01 1.164784974994378e+12
3.047882865347307e-01 9.215362156417506e+11
3.048035259490575e-01 9.182137742494585e+11
3.048187661253550e-01 7.123586929490603e+11
3.048340070636612e-01 4.101582575888088e+11
3.048492487640144e-01 8.427325700249576e+10
3.048644912264525e-01 3.952141331928096e+11
3.048797344510139e-01 7.093772177847273e+11
3.048949784377364e-01 9.518187412907153e+11
3.049102231866583e-01 1.097652786337361e+12
3.049254686978177e-01 1.261547645209847e+12
3.049407149712525e-01 1.459552586795550e+12
3.049559620070010e-01 1.350840272353117e+12
3.049712098051014e-01 1.283262734341345e+12
3.049864583655917e-01 1.593526913247676e+12
3.050017076885100e-01 2.267924312076811e+12
3.050169577738944e-01 2.079757485522294e+12
3.050322086217832e-01 1.435696933631473e+12
3.050474602322142e-01 2.403804505796761e+12
3.050627126052258e-01 2.332081146587927e+12
3.050779657408561e-01 1.335130632881672e+12
3.050932196391431e-01 2.179546102040112e+12
3.051084743001251e-01 1.441539438847403e+12
3.051237297238401e-01 1.575152003747991e+12
3.051389859103263e-01 1.228051832527631e+12
3.051542428596218e-01 8.515468789115210e+11
3.051695005717647e-01 2.153524578044057e+11
3.051847590467933e-01 8.228705435345319e+11
3.052000182847456e-01 1.230148753789303e+12
3.052152782856599e-01 1.582991002222148e+12
3.052305390495742e-01 2.002124847004695e+12
3.052458005765267e-01 2.411745586191603e+12
3.052610628665555e-01 2.568990733150917e+12
3.052763259196988e-01 2.612564825229104e+12
3.052915897359948e-01 2.559309401135340e+12
3.053068543154817e-01 2.592777836210583e+12
3.053221196581974e-01 4.428403583526036e+12
3.053373857641803e-01 2.633399098367553e+12
3.053526526334685e-01 4.002187524433317e+12
3.053679202661002e-01 2.570099103740962e+12
3.053831886621134e-01 3.354409035938745e+12
3.053984578215466e-01 1.754159049973604e+12
3.054137277444377e-01 1.924223550004530e+12
3.054289984308249e-01 1.182676076166689e+12
3.054442698807464e-01 1.928764786885010e+12
3.054595420942405e-01 1.099631527748341e+12
3.054748150713452e-01 7.294874034053982e+11
3.054900888120988e-01 1.317318606600874e+12
3.055053633165394e-01 8.065031250853151e+11
3.055206385847052e-01 3.372165016321514e+11
3.055359146166344e-01 1.024661497553597e+12
3.055511914123653e-01 1.520561567625761e+12
3.055664689719359e-01 1.936996534565120e+12
3.055817472953845e-01 1.863725790556928e+12
3.055970263827493e-01 1.940521337743752e+12
3.056123062340684e-01 1.065651237287129e+12
3.056275868493802e-01 1.717492294731670e+12
3.056428682287227e-01 1.594894481082704e+12
3.056581503721340e-01 2.124712658126143e+12
3.056734332796527e-01 1.516492646407561e+12
3.056887169513166e-01 2.853763481837414e+12
3.057040013871642e-01 1.971739162527811e+12
3.057192865872336e-01 9.499279919137456e+11
3.057345725515629e-01 1.539513451232427e+12
3.057498592801905e-01 2.316420719799250e+12
3.057651467731545e-01 1.352107625655584e+12
3.057804350304932e-01 1.595183418125665e+12
3.057957240522447e-01 1.150395826532470e+12
3.058110138384473e-01 9.723901430444934e+11
3.058263043891392e-01 3.856106064617632e+11
3.058415957043587e-01 4.068709179091483e+11
3.058568877841439e-01 3.792995540648966e+11
3.058721806285332e-01 9.138803162642827e+11
3.058874742375645e-01 1.218400074532492e+12
3.059027686112764e-01 1.249622030508828e+12
3.059180637497070e-01 1.105243665747739e+12
3.059333596528945e-01 1.070282825886902e+12
3.059486563208771e-01 1.012993497152469e+12
3.059639537536932e-01 7.845437275793461e+11
3.059792519513808e-01 5.327828596375118e+11
3.059945509139784e-01 1.174425068477104e+11
3.060098506415241e-01 3.588805198957660e+11
3.060251511340562e-01 7.501737078200648e+11
3.060404523916129e-01 9.409387018282449e+11
3.060557544142325e-01 1.055796465774473e+12
3.060710572019532e-01 1.130292129271191e+12
3.060863607548133e-01 1.408402634627234e+12
3.061016650728511e-01 1.628326919549568e+12
3.061169701561047e-01 1.427113285884219e+12
3.061322760046125e-01 1.173069940703260e+12
3.061475826184127e-01 2.075278009200063e+12
3.061628899975437e-01 1.901501092610360e+12
3.061781981420435e-01 2.506241154295540e+12
3.061935070519506e-01 1.813726625347223e+12
3.062088167273032e-01 2.082768726633478e+12
3.062241271681396e-01 2.011815357366873e+12
3.062394383744980e-01 2.992496589696679e+12
3.062547503464167e-01 2.060876846902465e+12
3.062700630839341e-01 1.142670187479172e+12
3.062853765870882e-01 2.920505087891921e+12
3.063006908559175e-01 1.519788246764787e+12
3.063160058904604e-01 2.825321524703023e+12
3.063313216907549e-01 4.151592732971895e+12
3.063466382568394e-01 3.884030049738165e+12
3.063619555887523e-01 3.514591141383744e+12
3.063772736865317e-01 3.733323127358660e+12
3.063925925502160e-01 3.631033949501868e+12
3.064079121798435e-01 4.393778673635407e+12
3.064232325754525e-01 3.087032906038817e+12
3.064385537370813e-01 3.880210501731515e+12
3.064538756647681e-01 5.868105980934958e+12
3.064691983585514e-01 6.048943283217448e+12
3.064845218184694e-01 3.002876090635362e+12
3.064998460445602e-01 2.378239772343657e+12
3.065151710368625e-01 3.570380957916753e+12
3.065304967954143e-01 1.757074647356336e+12
3.065458233202541e-01 7.697305781432742e+11
3.065611506114201e-01 1.611642574051133e+12
3.065764786689507e-01 3.582226750593337e+12
3.065918074928841e-01 3.405148765662106e+12
3.066071370832587e-01 3.705916914614410e+12
3.066224674401129e-01 5.307396164776352e+12
3.066377985634849e-01 5.358801053941191e+12
3.066531304534130e-01 2.083271594155096e+12
3.066684631099357e-01 4.053520637586248e+12
3.066837965330912e-01 3.574590422623000e+12
3.066991307229179e-01 2.639044778764466e+12
3.067144656794540e-01 9.894844790736738e+11
3.067298014027380e-01 7.740847660876028e+11
3.067451378928081e-01 1.291976819816237e+12
3.067604751497028e-01 2.278266506584518e+12
3.067758131734603e-01 1.498117075470575e+12
3.067911519641189e-01 1.033482086562741e+12
3.068064915217171e-01 3.436312271433821e+11
3.068218318462932e-01 6.561852597860581e+11
3.068371729378855e-01 1.183730412962021e+12
3.068525147965325e-01 1.502601773497293e+12
3.068678574222723e-01 2.291073191124315e+12
3.068832008151434e-01 2.010977136942451e+12
3.068985449751842e-01 1.355039811930452e+12
3.069138899024329e-01 2.087683517052990e+12
3.069292355969280e-01 3.799571403266938e+12
3.069445820587079e-01 3.820749139880039e+12
3.069599292878109e-01 2.860091775023329e+12
3.069752772842752e-01 3.530975601321944e+12
3.069906260481394e-01 6.487327848435916e+12
3.070059755794418e-01 8.391626890244611e+12
3.070213258782208e-01 5.333801314393258e+12
3.070366769445148e-01 6.004194067296818e+12
3.070520287783619e-01 6.498190568486886e+12
3.070673813798009e-01 9.532409341224193e+12
3.070827347488699e-01 5.472709196423729e+12
3.070980888856072e-01 3.254292184074087e+12
3.071134437900516e-01 2.314176960737277e+12
3.071287994622410e-01 8.619422487817534e+12
3.071441559022141e-01 8.828474828620771e+12
3.071595131100093e-01 6.755942978252710e+12
3.071748710856648e-01 5.635909212556964e+12
3.071902298292191e-01 7.868707856574659e+12
3.072055893407106e-01 8.452447205039379e+12
3.072209496201775e-01 3.087859652724059e+12
3.072363106676586e-01 2.885861571760784e+12
3.072516724831920e-01 5.641013362833795e+12
3.072670350668161e-01 7.759623396335094e+12
3.072823984185695e-01 3.930851278626682e+12
3.072977625384904e-01 1.509657489692605e+12
3.073131274266173e-01 2.038344252448961e+12
3.073284930829887e-01 2.828719761437966e+12
3.073438595076428e-01 5.800921252518101e+12
3.073592267006182e-01 5.159702275467616e+12
3.073745946619532e-01 2.328080139905347e+12
3.073899633916863e-01 1.304641003617053e+12
3.074053328898559e-01 2.982458441858650e+12
3.074207031565004e-01 3.249948682662859e+12
3.074360741916583e-01 4.113765379160832e+12
3.074514459953678e-01 4.349719727576378e+12
3.074668185676676e-01 2.592681632326489e+12
3.074821919085960e-01 3.113593245427976e+12
3.074975660181914e-01 3.881037571457542e+12
3.075129408964923e-01 3.558628319376473e+12
3.075283165435371e-01 4.222801535104333e+12
3.075436929593643e-01 2.700394877599509e+12
3.075590701440123e-01 3.312240411177461e+12
3.075744480975195e-01 4.589639146182011e+12
3.075898268199243e-01 2.379065896810402e+12
3.076052063112653e-01 1.795612889209816e+12
3.076205865715809e-01 1.450653284089863e+12
3.076359676009094e-01 1.679632615646971e+12
3.076513493992895e-01 9.000073015089403e+11
3.076667319667595e-01 4.833440117989194e+11
3.076821153033578e-01 1.246923563883010e+12
3.076974994091230e-01 1.984698661269456e+12
3.077128842840934e-01 2.371443290771036e+12
3.077282699283077e-01 2.876122854120654e+12
3.077436563418041e-01 2.174083241206904e+12
3.077590435246211e-01 3.610780299944983e+12
3.077744314767974e-01 3.291993922388882e+12
3.077898201983713e-01 3.443521824997922e+12
3.078052096893811e-01 5.216154486426553e+12
3.078205999498656e-01 6.648189115305831e+12
3.078359909798631e-01 4.373703030317481e+12
3.078513827794121e-01 3.076343283078962e+12
3.078667753485511e-01 3.366841612281773e+12
3.078821686873185e-01 4.693017528848913e+12
3.078975627957529e-01 3.003459737308959e+12
3.079129576738927e-01 4.712902972748552e+12
3.079283533217764e-01 2.483711623853259e+12
3.079437497394424e-01 2.581473869849831e+12
3.079591469269294e-01 1.303375164433600e+12
3.079745448842758e-01 4.309926954135686e+12
3.079899436115200e-01 4.409419442041118e+12
3.080053431087006e-01 4.293700847254450e+12
3.080207433758561e-01 1.961106064666526e+12
3.080361444130248e-01 1.937189326281044e+12
3.080515462202455e-01 3.161978664920882e+12
3.080669487975565e-01 4.189276489311128e+12
3.080823521449963e-01 2.251283280783768e+12
3.080977562626036e-01 2.125916018429498e+12
3.081131611504168e-01 3.757238290051477e+12
3.081285668084742e-01 2.164928238373914e+12
3.081439732368147e-01 2.285708729461827e+12
3.081593804354765e-01 1.013058770977715e+12
3.081747884044983e-01 1.339737350587292e+12
3.081901971439185e-01 1.657325492054325e+12
3.082056066537757e-01 2.111823721615334e+12
3.082210169341084e-01 1.578147686720940e+12
3.082364279849552e-01 1.457250991570626e+12
3.082518398063544e-01 1.355869346346329e+12
3.082672523983447e-01 1.007678174798563e+12
3.082826657609646e-01 7.874742191933538e+11
3.082980798942526e-01 2.709906810723419e+11
3.083134947982474e-01 3.637249860263700e+11
3.083289104729873e-01 8.331087653769366e+11
3.083443269185109e-01 8.647901225483342e+11
3.083597441348568e-01 1.142851218663203e+12
3.083751621220636e-01 1.522388870218191e+12
3.083905808801697e-01 1.663070540877241e+12
3.084060004092137e-01 1.662633823447963e+12
3.084214207092342e-01 1.847371098383357e+12
3.084368417802696e-01 1.176129568390684e+12
3.084522636223587e-01 1.122233335952871e+12
3.084676862355398e-01 5.928492998002520e+11
3.084831096198516e-01 1.462706144566641e+12
3.084985337753325e-01 1.846521344897425e+12
3.085139587020213e-01 2.612066599525229e+12
3.085293843999564e-01 1.901100859136331e+12
3.085448108691765e-01 2.406093476774875e+12
3.085602381097199e-01 2.609472389583545e+12
3.085756661216253e-01 2.760679325489418e+12
3.085910949049315e-01 4.630920489752583e+12
3.086065244596767e-01 3.683395446461663e+12
3.086219547858997e-01 3.722734555049855e+12
3.086373858836390e-01 5.466093288091106e+12
3.086528177529331e-01 4.114424397457914e+12
3.086682503938208e-01 5.493410221206920e+12
3.086836838063405e-01 4.493626521083820e+12
3.086991179905308e-01 3.396387214067333e+12
3.087145529464304e-01 4.676485666780569e+12
3.087299886740777e-01 4.117941125064924e+12
3.087454251735114e-01 5.512770940196040e+12
3.087608624447701e-01 2.676701825216558e+12
3.087763004878923e-01 2.862999714295839e+12
3.087917393029167e-01 5.405738704942797e+12
3.088071788898819e-01 3.539745185935247e+12
3.088226192488264e-01 4.981054289950675e+12
3.088380603797888e-01 2.057267695977360e+12
3.088535022828078e-01 4.188384935753332e+12
3.088689449579219e-01 2.169991351896447e+12
3.088843884051699e-01 1.905766472896876e+12
3.088998326245901e-01 1.384755842906780e+12
3.089152776162213e-01 3.080356781617478e+12
3.089307233801021e-01 3.768787521281574e+12
3.089461699162712e-01 4.593292982003858e+12
3.089616172247669e-01 5.534036981749631e+12
3.089770653056282e-01 4.004591623321765e+12
3.089925141588934e-01 3.663353185738153e+12
3.090079637846014e-01 4.508414153730735e+12
3.090234141827906e-01 2.612263391308529e+12
3.090388653534998e-01 1.726777416213030e+12
3.090543172967675e-01 1.530097156036154e+12
3.090697700126323e-01 3.904330910305067e+12
3.090852235011329e-01 2.478041088059886e+12
3.091006777623080e-01 2.616527593893813e+12
3.091161327961961e-01 1.873899920856038e+12
3.091315886028359e-01 2.131977333914741e+12
3.091470451822661e-01 2.656535112402790e+12
3.091625025345252e-01 1.903846695851895e+12
3.091779606596520e-01 1.894491083781696e+12
3.091934195576849e-01 8.541587145708041e+11
3.092088792286629e-01 1.598930014106932e+12
3.092243396726242e-01 1.468225862274002e+12
3.092398008896079e-01 9.095153036897013e+11
3.092552628796523e-01 9.204875161653711e+11
3.092707256427963e-01 1.427024195648905e+12
3.092861891790785e-01 1.390323788532769e+12
3.093016534885374e-01 1.167208877270717e+12
3.093171185712119e-01 1.020951591074515e+12
3.093325844271405e-01 7.927985873489203e+11
3.093480510563618e-01 4.401328089813942e+11
3.093635184589146e-01 7.989282518988736e+10
3.093789866348375e-01 2.754058114115131e+11
3.093944555841693e-01 4.557282270158777e+11
3.094099253069485e-01 9.938970236471936e+11
3.094253958032139e-01 1.238777334342907e+12
3.094408670730040e-01 1.154276759817680e+12
3.094563391163577e-01 1.491145687787113e+12
3.094718119333134e-01 1.045151789370637e+12
3.094872855239101e-01 2.038342581046078e+12
3.095027598881863e-01 1.885916107352823e+12
3.095182350261807e-01 2.080606727407727e+12
3.095337109379320e-01 2.645415722291653e+12
3.095491876234789e-01 1.910120844166383e+12
3.095646650828601e-01 2.328635670455745e+12
3.095801433161142e-01 1.311246985449542e+12
3.095956223232800e-01 2.725455233442277e+12
3.096111021043961e-01 1.739131759784270e+12
3.096265826595014e-01 2.506639250352636e+12
3.096420639886344e-01 3.452056019122358e+12
