# wavelength_um  transit_depth
7.4125814896e-01 1.1995660281e-02
7.4422318155e-01 1.1987267035e-02
7.4720007428e-01 1.1984102324e-02
7.5018887457e-01 1.1977095000e-02
7.5318963007e-01 1.1973226920e-02
7.5620238859e-01 1.1969555461e-02
7.5922719815e-01 1.1965993047e-02
7.6226410694e-01 1.1962875166e-02
7.6531316337e-01 1.1961072531e-02
7.6837441602e-01 1.1959170574e-02
7.7144791369e-01 1.1957414924e-02
7.7453370534e-01 1.1955652328e-02
7.7763184016e-01 1.1955110997e-02
7.8074236752e-01 1.1955744058e-02
7.8386533699e-01 1.1957126573e-02
7.8700079834e-01 1.1959837064e-02
7.9014880153e-01 1.1956800845e-02
7.9330939674e-01 1.1953453285e-02
7.9648263433e-01 1.1957834847e-02
7.9966856486e-01 1.1960610061e-02
8.0286723912e-01 1.1960324143e-02
8.0607870808e-01 1.1965096261e-02
8.0930302291e-01 1.1988178364e-02
8.1254023500e-01 1.2004521768e-02
8.1579039594e-01 1.1999738291e-02
8.1905355753e-01 1.1983365322e-02
8.2232977176e-01 1.1997347979e-02
8.2561909084e-01 1.1977895095e-02
8.2892156721e-01 1.1986665088e-02
8.3223725348e-01 1.1981208939e-02
8.3556620249e-01 1.1981697923e-02
8.3890846730e-01 1.1974261587e-02
8.4226410117e-01 1.1969668720e-02
8.4563315757e-01 1.1963911797e-02
8.4901569020e-01 1.1956862199e-02
8.5241175297e-01 1.1949842091e-02
8.5582139998e-01 1.1945360114e-02
8.5924468558e-01 1.1938459300e-02
8.6268166432e-01 1.1935452944e-02
8.6613239098e-01 1.1930885916e-02
8.6959692054e-01 1.1929557991e-02
8.7307530822e-01 1.1928122545e-02
8.7656760946e-01 1.1926651754e-02
8.8007387989e-01 1.1925327603e-02
8.8359417541e-01 1.1923692010e-02
8.8712855212e-01 1.1929176484e-02
8.9067706632e-01 1.1961265879e-02
8.9423977459e-01 1.1987537652e-02
8.9781673369e-01 1.1990185771e-02
9.0140800062e-01 1.1975172824e-02
9.0501363262e-01 1.1959199081e-02
9.0863368715e-01 1.1968862271e-02
9.1226822190e-01 1.1987708231e-02
9.1591729479e-01 1.2009171663e-02
9.1958096397e-01 1.1998101586e-02
9.2325928783e-01 1.1995835776e-02
9.2695232498e-01 1.2087337325e-02
9.3066013428e-01 1.2131557388e-02
9.3438277481e-01 1.2133687815e-02
9.3812030591e-01 1.2122557311e-02
9.4187278714e-01 1.2099501513e-02
9.4564027829e-01 1.2087673563e-02
9.4942283940e-01 1.2098700001e-02
9.5322053076e-01 1.2089728536e-02
9.5703341288e-01 1.2105370313e-02
9.6086154653e-01 1.2101595610e-02
9.6470499272e-01 1.2088104189e-02
9.6856381269e-01 1.2072997996e-02
9.7243806794e-01 1.2074961569e-02
9.7632782021e-01 1.2061094351e-02
9.8023313149e-01 1.2054302507e-02
9.8415406402e-01 1.2047412872e-02
9.8809068027e-01 1.2030096031e-02
9.9204304299e-01 1.2022127935e-02
9.9601121517e-01 1.2007994307e-02
9.9999526003e-01 1.1993155243e-02
1.0039952411e+00 1.1982370985e-02
1.0080112220e+00 1.1967626041e-02
1.0120432669e+00 1.1951655403e-02
1.0160914400e+00 1.1940935112e-02
1.0201558057e+00 1.1931008449e-02
1.0242364290e+00 1.1922773438e-02
1.0283333747e+00 1.1915177133e-02
1.0324467082e+00 1.1907753078e-02
1.0365764950e+00 1.1900426769e-02
1.0407228010e+00 1.1897290369e-02
1.0448856922e+00 1.1898366847e-02
1.0490652350e+00 1.1897677261e-02
1.0532614959e+00 1.1895848476e-02
1.0574745419e+00 1.1895738448e-02
1.0617044401e+00 1.1898057941e-02
1.0659512578e+00 1.1899501635e-02
1.0702150629e+00 1.1904411482e-02
1.0744959231e+00 1.1902559152e-02
1.0787939068e+00 1.1910728698e-02
1.0831090824e+00 1.1912093837e-02
1.0874415188e+00 1.1940702047e-02
1.0917912848e+00 1.1998208801e-02
1.0961584500e+00 1.2043291382e-02
1.1005430838e+00 1.2062766950e-02
1.1049452561e+00 1.2073992303e-02
1.1093650371e+00 1.2100742855e-02
1.1138024973e+00 1.2111448849e-02
1.1182577073e+00 1.2144363840e-02
1.1227307381e+00 1.2115953899e-02
1.1272216610e+00 1.2107399924e-02
1.1317305477e+00 1.2134000504e-02
1.1362574699e+00 1.2168196419e-02
1.1408024998e+00 1.2106233366e-02
1.1453657098e+00 1.2131506949e-02
1.1499471726e+00 1.2104611852e-02
1.1545469613e+00 1.2123975000e-02
1.1591651491e+00 1.2114957164e-02
1.1638018097e+00 1.2125421818e-02
1.1684570170e+00 1.2116693553e-02
1.1731308450e+00 1.2098975271e-02
1.1778233684e+00 1.2099595529e-02
1.1825346619e+00 1.2080409996e-02
1.1872648005e+00 1.2075419714e-02
1.1920138597e+00 1.2045054309e-02
1.1967819152e+00 1.2035002981e-02
1.2015690428e+00 1.2020260360e-02
1.2063753190e+00 1.2003198271e-02
1.2112008203e+00 1.2004359928e-02
1.2160456236e+00 1.1987214650e-02
1.2209098061e+00 1.1980105737e-02
1.2257934453e+00 1.1972617652e-02
1.2306966191e+00 1.1958881618e-02
1.2356194055e+00 1.1956091642e-02
1.2405618832e+00 1.1938015638e-02
1.2455241307e+00 1.1931511312e-02
1.2505062272e+00 1.1920535279e-02
1.2555082521e+00 1.1917663371e-02
1.2605302851e+00 1.1921025522e-02
1.2655724063e+00 1.1923996525e-02
1.2706346959e+00 1.1927491744e-02
1.2757172347e+00 1.1936271677e-02
1.2808201036e+00 1.1943272235e-02
1.2859433840e+00 1.1959770483e-02
1.2910871576e+00 1.1969050824e-02
1.2962515062e+00 1.1970330998e-02
1.3014365122e+00 1.1985713619e-02
1.3066422583e+00 1.1991520853e-02
1.3118688273e+00 1.1994238452e-02
1.3171163026e+00 1.2021725568e-02
1.3223847678e+00 1.2027714024e-02
1.3276743069e+00 1.2067813715e-02
1.3329850041e+00 1.2173153521e-02
1.3383169442e+00 1.2242156955e-02
1.3436702119e+00 1.2257089924e-02
1.3490448928e+00 1.2295454780e-02
1.3544410723e+00 1.2326122736e-02
1.3598588366e+00 1.2341776169e-02
1.3652982720e+00 1.2304377457e-02
1.3707594651e+00 1.2322083429e-02
1.3762425029e+00 1.2319896052e-02
1.3817474729e+00 1.2309667278e-02
1.3872744628e+00 1.2298418990e-02
1.3928235607e+00 1.2305590848e-02
1.3983948549e+00 1.2323298962e-02
1.4039884343e+00 1.2306366460e-02
1.4096043881e+00 1.2344460098e-02
1.4152428056e+00 1.2332291966e-02
1.4209037769e+00 1.2337702350e-02
1.4265873920e+00 1.2361960320e-02
1.4322937415e+00 1.2323806593e-02
1.4380229165e+00 1.2322388087e-02
1.4437750082e+00 1.2321334736e-02
1.4495501082e+00 1.2286959326e-02
1.4553483086e+00 1.2266060047e-02
1.4611697019e+00 1.2260304703e-02
1.4670143807e+00 1.2257287771e-02
1.4728824382e+00 1.2244894726e-02
1.4787739680e+00 1.2238881823e-02
1.4846890638e+00 1.2237313781e-02
1.4906278201e+00 1.2224126267e-02
1.4965903314e+00 1.2207539293e-02
1.5025766927e+00 1.2202047460e-02
1.5085869995e+00 1.2186473307e-02
1.5146213475e+00 1.2160147829e-02
1.5206798328e+00 1.2153937578e-02
1.5267625522e+00 1.2142498898e-02
1.5328696024e+00 1.2125847824e-02
1.5390010808e+00 1.2106093294e-02
1.5451570851e+00 1.2089677233e-02
1.5513377135e+00 1.2069872665e-02
1.5575430643e+00 1.2085068411e-02
1.5637732366e+00 1.2068379922e-02
1.5700283295e+00 1.2036864051e-02
1.5763084428e+00 1.2027148830e-02
1.5826136766e+00 1.2026363660e-02
1.5889441313e+00 1.2009818063e-02
1.5952999078e+00 1.1995007223e-02
1.6016811075e+00 1.1995018717e-02
1.6080878319e+00 1.1989178144e-02
1.6145201832e+00 1.1987256613e-02
1.6209782640e+00 1.1990650848e-02
1.6274621770e+00 1.1987292744e-02
1.6339720257e+00 1.1992529991e-02
1.6405079138e+00 1.1984539296e-02
1.6470699455e+00 1.1981548324e-02
1.6536582253e+00 1.1984105350e-02
1.6602728582e+00 1.1994781385e-02
1.6669139496e+00 1.2002784683e-02
1.6735816054e+00 1.2012233987e-02
1.6802759318e+00 1.1983900158e-02
1.6869970355e+00 1.1989547797e-02
1.6937450237e+00 1.2002870876e-02
1.7005200038e+00 1.2012924249e-02
1.7073220838e+00 1.2017747027e-02
1.7141513721e+00 1.2040713116e-02
1.7210079776e+00 1.2062439946e-02
1.7278920095e+00 1.2076585047e-02
1.7348035776e+00 1.2101425112e-02
1.7417427919e+00 1.2100357464e-02
1.7487097630e+00 1.2128346014e-02
1.7557046021e+00 1.2132946322e-02
1.7627274205e+00 1.2135377501e-02
1.7697783302e+00 1.2181158445e-02
1.7768574435e+00 1.2187598357e-02
1.7839648733e+00 1.2219393022e-02
1.7911007328e+00 1.2214817238e-02
1.7982651357e+00 1.2232325351e-02
1.8054581962e+00 1.2257297675e-02
1.8126800290e+00 1.2241988976e-02
1.8199307491e+00 1.2281125116e-02
1.8272104721e+00 1.2249053190e-02
1.8345193140e+00 1.2281620263e-02
1.8418573913e+00 1.2265858990e-02
1.8492248209e+00 1.2296546320e-02
1.8566217201e+00 1.2322699344e-02
1.8640482070e+00 1.2317894060e-02
1.8715043998e+00 1.2312247178e-02
1.8789904174e+00 1.2282862458e-02
1.8865063791e+00 1.2257201868e-02
1.8940524046e+00 1.2249642901e-02
1.9016286143e+00 1.2243225996e-02
1.9092351287e+00 1.2240466997e-02
1.9168720692e+00 1.2228516860e-02
1.9245395575e+00 1.2251803253e-02
1.9322377157e+00 1.2264952033e-02
1.9399666666e+00 1.2294314683e-02
1.9477265333e+00 1.2270252217e-02
1.9555174394e+00 1.2287455287e-02
1.9633395092e+00 1.2265536322e-02
1.9711928672e+00 1.2266676252e-02
1.9790776387e+00 1.2265398288e-02
1.9869939492e+00 1.2251130666e-02
1.9949419250e+00 1.2235584163e-02
2.0029216927e+00 1.2225549894e-02
2.0109333795e+00 1.2209613940e-02
2.0189771130e+00 1.2210083775e-02
2.0270530214e+00 1.2190902277e-02
2.0351612335e+00 1.2157833096e-02
2.0433018785e+00 1.2161735202e-02
2.0514750860e+00 1.2147489965e-02
2.0596809863e+00 1.2121900298e-02
2.0679197103e+00 1.2119230145e-02
2.0761913891e+00 1.2104945098e-02
2.0844961547e+00 1.2102116016e-02
2.0928341393e+00 1.2092252395e-02
2.1012054758e+00 1.2089088940e-02
2.1096102977e+00 1.2080831052e-02
2.1180487389e+00 1.2082903909e-02
2.1265209339e+00 1.2075176072e-02
2.1350270176e+00 1.2070588447e-02
2.1435671257e+00 1.2074937915e-02
2.1521413942e+00 1.2079573397e-02
2.1607499598e+00 1.2072907066e-02
2.1693929596e+00 1.2079828788e-02
2.1780705315e+00 1.2081797047e-02
2.1867828136e+00 1.2090787647e-02
2.1955299448e+00 1.2105058919e-02
2.2043120646e+00 1.2131369586e-02
2.2131293129e+00 1.2115850979e-02
2.2219818301e+00 1.2126133905e-02
2.2308697574e+00 1.2128633067e-02
2.2397932365e+00 1.2138603991e-02
2.2487524094e+00 1.2141910871e-02
2.2577474191e+00 1.2148281964e-02
2.2667784087e+00 1.2155789519e-02
2.2758455224e+00 1.2154871088e-02
2.2849489045e+00 1.2160785561e-02
2.2940887001e+00 1.2210033304e-02
2.3032650549e+00 1.2213783788e-02
2.3124781151e+00 1.2211674835e-02
2.3217280276e+00 1.2244906122e-02
2.3310149397e+00 1.2242898233e-02
2.3403389994e+00 1.2232421126e-02
2.3497003554e+00 1.2235046917e-02
2.3590991568e+00 1.2225956873e-02
2.3685355535e+00 1.2243079473e-02
2.3780096957e+00 1.2236748112e-02
2.3875217345e+00 1.2247022816e-02
2.3970718214e+00 1.2230278791e-02
2.4066601087e+00 1.2228227535e-02
2.4162867491e+00 1.2244266332e-02
2.4259518961e+00 1.2235135600e-02
2.4356557037e+00 1.2250108781e-02
2.4453983265e+00 1.2262938335e-02
2.4551799198e+00 1.2269972330e-02
2.4650006395e+00 1.2271646107e-02
2.4748606421e+00 1.2306536098e-02
2.4847600846e+00 1.2303174125e-02
2.4946991250e+00 1.2314496520e-02
2.5046779215e+00 1.2335783092e-02
2.5146966332e+00 1.2364515182e-02
2.5247554197e+00 1.2367330449e-02
2.5348544414e+00 1.2370996385e-02
2.5449938591e+00 1.2393410880e-02
2.5551738346e+00 1.2371889447e-02
2.5653945299e+00 1.2424054683e-02
2.5756561080e+00 1.2367047794e-02
2.5859587325e+00 1.2393555500e-02
2.5963025674e+00 1.2392648796e-02
2.6066877777e+00 1.2361730939e-02
2.6171145288e+00 1.2368327635e-02
2.6275829869e+00 1.2365716309e-02
2.6380933188e+00 1.2355097140e-02
2.6486456921e+00 1.2353282965e-02
2.6592402749e+00 1.2342073048e-02
2.6698772360e+00 1.2439967674e-02
2.6805567449e+00 1.2430787692e-02
2.6912789719e+00 1.2442376707e-02
2.7020440878e+00 1.2423238133e-02
2.7128522641e+00 1.2433453873e-02
2.7237036732e+00 1.2431050770e-02
2.7345984879e+00 1.2383685933e-02
2.7455368818e+00 1.2388701330e-02
2.7565190294e+00 1.2385627890e-02
2.7675451055e+00 1.2428082347e-02
2.7786152859e+00 1.2405089810e-02
2.7897297471e+00 1.2424222531e-02
2.8008886660e+00 1.2422440451e-02
2.8120922207e+00 1.2400077723e-02
2.8233405896e+00 1.2430158701e-02
2.8346339520e+00 1.2410310843e-02
2.8459724878e+00 1.2394981270e-02
2.8573563777e+00 1.2414722222e-02
2.8687858032e+00 1.2416341887e-02
2.8802609464e+00 1.2367740676e-02
2.8917819902e+00 1.2395315441e-02
2.9033491182e+00 1.2421867315e-02
2.9149625147e+00 1.2388079978e-02
2.9266223647e+00 1.2405689251e-02
2.9383288542e+00 1.2344303620e-02
2.9500821696e+00 1.2390179771e-02
2.9618824983e+00 1.2361107044e-02
2.9737300283e+00 1.2356900702e-02
2.9856249484e+00 1.2354063297e-02
2.9975674482e+00 1.2322622803e-02
3.0095577180e+00 1.2351421532e-02
3.0215959488e+00 1.2318950912e-02
3.0336823326e+00 1.2321357052e-02
3.0458170620e+00 1.2324115478e-02
3.0580003302e+00 1.2299630731e-02
3.0702323315e+00 1.2305354008e-02
3.0825132608e+00 1.2284483606e-02
3.0948433139e+00 1.2320921007e-02
3.1072226871e+00 1.2306111553e-02
3.1196515779e+00 1.2312089706e-02
3.1321301842e+00 1.2307890090e-02
3.1446587049e+00 1.2349086224e-02
3.1572373398e+00 1.2330956668e-02
3.1698662891e+00 1.2346691032e-02
3.1825457543e+00 1.2335584847e-02
3.1952759373e+00 1.2359545832e-02
3.2080570410e+00 1.2370013836e-02
3.2208892692e+00 1.2337353228e-02
3.2337728263e+00 1.2326282162e-02
3.2467079176e+00 1.2327333884e-02
3.2596947493e+00 1.2285013823e-02
3.2727335283e+00 1.2278387632e-02
3.2858244624e+00 1.2266978169e-02
3.2989677602e+00 1.2271591313e-02
3.3121636313e+00 1.2352995396e-02
3.3254122858e+00 1.2499848076e-02
3.3387139349e+00 1.2458812538e-02
3.3520687907e+00 1.2384317760e-02
3.3654770658e+00 1.2310190375e-02
3.3789389741e+00 1.2299820546e-02
3.3924547300e+00 1.2282345271e-02
3.4060245489e+00 1.2303784656e-02
3.4196486471e+00 1.2299944553e-02
3.4333272417e+00 1.2295633748e-02
3.4470605507e+00 1.2291299599e-02
3.4608487929e+00 1.2293844298e-02
3.4746921880e+00 1.2287606093e-02
3.4885909568e+00 1.2288224935e-02
3.5025453206e+00 1.2265868917e-02
3.5165555019e+00 1.2261141277e-02
3.5306217239e+00 1.2250160037e-02
3.5447442108e+00 1.2249115374e-02
3.5589231876e+00 1.2221802833e-02
3.5731588804e+00 1.2210694173e-02
3.5874515159e+00 1.2195114391e-02
3.6018013220e+00 1.2188593075e-02
3.6162085273e+00 1.2174179095e-02
3.6306733614e+00 1.2161194198e-02
3.6451960548e+00 1.2141885137e-02
3.6597768390e+00 1.2126147124e-02
3.6744159464e+00 1.2118623812e-02
3.6891136102e+00 1.2101053501e-02
3.7038700646e+00 1.2093014695e-02
3.7186855449e+00 1.2073098775e-02
3.7335602871e+00 1.2078291529e-02
3.7484945282e+00 1.2069927565e-02
3.7634885063e+00 1.2060416061e-02
3.7785424604e+00 1.2052874005e-02
3.7936566302e+00 1.2045382150e-02
3.8088312567e+00 1.2044364348e-02
3.8240665817e+00 1.2040736675e-02
3.8393628481e+00 1.2031706214e-02
3.8547202995e+00 1.2022133912e-02
3.8701391807e+00 1.2018293675e-02
3.8856197374e+00 1.2022429972e-02
3.9011622163e+00 1.2013934162e-02
3.9167668652e+00 1.2008573154e-02
3.9324339327e+00 1.2003239089e-02
3.9481636684e+00 1.2015429837e-02
3.9639563231e+00 1.1998042427e-02
3.9798121484e+00 1.2021632507e-02
3.9957313969e+00 1.2008824339e-02
4.0117143225e+00 1.2002130783e-02
4.0277611798e+00 1.2024983021e-02
4.0438722245e+00 1.2017000738e-02
4.0600477134e+00 1.2025527823e-02
4.0762879043e+00 1.2049017816e-02
4.0925930559e+00 1.2042384748e-02
4.1089634281e+00 1.2059720255e-02
4.1253992818e+00 1.2084136097e-02
4.1419008790e+00 1.2061608971e-02
4.1584684825e+00 1.2100970242e-02
4.1751023564e+00 1.2129707188e-02
4.1918027658e+00 1.2166299532e-02
4.2085699769e+00 1.2211353475e-02
4.2254042568e+00 1.2249635482e-02
4.2423058738e+00 1.2282565584e-02
4.2592750973e+00 1.2294383037e-02
4.2763121977e+00 1.2322497367e-02
4.2934174465e+00 1.2315181053e-02
4.3105911163e+00 1.2334586371e-02
4.3278334808e+00 1.2327460445e-02
4.3451448147e+00 1.2338744144e-02
4.3625253940e+00 1.2336583689e-02
4.3799754955e+00 1.2341628678e-02
4.3974953975e+00 1.2356156361e-02
4.4150853791e+00 1.2349326004e-02
4.4327457206e+00 1.2385262429e-02
4.4504767035e+00 1.2369857240e-02
4.4682786103e+00 1.2382456592e-02
4.4861517248e+00 1.2394494705e-02
4.5040963317e+00 1.2390080435e-02
4.5221127170e+00 1.2402361070e-02
4.5402011679e+00 1.2408047043e-02
4.5583619725e+00 1.2410186076e-02
4.5765954204e+00 1.2398303347e-02
4.5949018021e+00 1.2400752236e-02
4.6132814093e+00 1.2376370249e-02
4.6317345349e+00 1.2390065956e-02
4.6502614731e+00 1.2374692068e-02
4.6688625190e+00 1.2322081863e-02
4.6875379690e+00 1.2346726172e-02
4.7062881209e+00 1.2372883876e-02
4.7251132734e+00 1.2381476823e-02
4.7440137265e+00 1.2376146627e-02
4.7629897814e+00 1.2387204837e-02
4.7820417405e+00 1.2410443050e-02
4.8011699075e+00 1.2375050571e-02
4.8203745871e+00 1.2384879846e-02
