#grid point     #iterations     #chem_iter      #cond_iter      converged               elem_conserved          p (bar)                 T (K)                   n_<tot> (cm-3)          n_g (cm-3)              m (u)                   e-      Al      Ar      C       Ca      Cl      Co      Cr      Cu      F       Fe      Ge      H       He      K       Mg      Mn      N       Na      Ne      Ni      O       P       S       Si      Ti      V       Zn      
100             0               8               0               ok                      ok                      1.2621213145e-07        1.0000000000e+03        1.6995627085e+12        9.1415074688e+11        2.3261527863e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
101             0               8               0               ok                      ok                      1.2945299782e-07        1.0000000000e+03        1.7432040426e+12        9.3762424644e+11        2.3261528937e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
102             0               8               0               ok                      ok                      1.3277708294e-07        1.0000000000e+03        1.7879659969e+12        9.6170049691e+11        2.3261529999e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
103             0               8               0               ok                      ok                      1.3618652368e-07        1.0000000000e+03        1.8338773467e+12        9.8639497566e+11        2.3261531049e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
104             0               8               0               ok                      ok                      1.3968351180e-07        1.0000000000e+03        1.8809676062e+12        1.0117235575e+12        2.3261532088e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
105             0               8               0               ok                      ok                      1.4327029534e-07        1.0000000000e+03        1.9292670473e+12        1.0377025250e+12        2.3261533114e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
106             0               8               0               ok                      ok                      1.4694918006e-07        1.0000000000e+03        1.9788067193e+12        1.0643485785e+12        2.3261534130e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
107             0               8               0               ok                      ok                      1.5072253093e-07        1.0000000000e+03        2.0296184687e+12        1.0916788476e+12        2.3261535134e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
108             0               8               0               ok                      ok                      1.5459277364e-07        1.0000000000e+03        2.0817349601e+12        1.1197109015e+12        2.3261536126e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
109             0               8               0               ok                      ok                      1.5856239618e-07        1.0000000000e+03        2.1351896963e+12        1.1484627605e+12        2.3261537108e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
110             0               8               0               ok                      ok                      1.6263395040e-07        1.0000000000e+03        2.1900170408e+12        1.1779529077e+12        2.3261538079e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
111             0               8               0               ok                      ok                      1.6681005372e-07        1.0000000000e+03        2.2462522394e+12        1.2082003009e+12        2.3261539038e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
112             0               8               0               ok                      ok                      1.7109339073e-07        1.0000000000e+03        2.3039314428e+12        1.2392243845e+12        2.3261539987e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
113             0               8               0               ok                      ok                      1.7548671496e-07        1.0000000000e+03        2.3630917302e+12        1.2710451024e+12        2.3261540926e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
114             0               8               0               ok                      ok                      1.7999285068e-07        1.0000000000e+03        2.4237711327e+12        1.3036829106e+12        2.3261541853e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
115             0               8               0               ok                      ok                      1.8461469463e-07        1.0000000000e+03        2.4860086580e+12        1.3371587901e+12        2.3261542771e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
116             0               8               0               ok                      ok                      1.8935521798e-07        1.0000000000e+03        2.5498443155e+12        1.3714942609e+12        2.3261543678e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
117             0               8               0               ok                      ok                      1.9421746815e-07        1.0000000000e+03        2.6153191421e+12        1.4067113955e+12        2.3261544574e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
118             0               8               0               ok                      ok                      1.9920457085e-07        1.0000000000e+03        2.6824752281e+12        1.4428328333e+12        2.3261545461e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
119             0               8               0               ok                      ok                      2.0431973202e-07        1.0000000000e+03        2.7513557449e+12        1.4798817949e+12        2.3261546337e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
120             0               8               0               ok                      ok                      2.0956623995e-07        1.0000000000e+03        2.8220049722e+12        1.5178820971e+12        2.3261547203e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
121             0               8               0               ok                      ok                      2.1494746734e-07        1.0000000000e+03        2.8944683270e+12        1.5568581685e+12        2.3261548059e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
122             0               8               0               ok                      ok                      2.2046687352e-07        1.0000000000e+03        2.9687923923e+12        1.5968350647e+12        2.3261548906e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
123             0               8               0               ok                      ok                      2.2612800663e-07        1.0000000000e+03        3.0450249472e+12        1.6378384849e+12        2.3261549742e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
124             0               8               0               ok                      ok                      2.3193450593e-07        1.0000000000e+03        3.1232149980e+12        1.6798947881e+12        2.3261550569e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
125             0               8               0               ok                      ok                      2.3789010411e-07        1.0000000000e+03        3.2034128089e+12        1.7230310101e+12        2.3261551386e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
126             0               8               0               ok                      ok                      2.4399862973e-07        1.0000000000e+03        3.2856699352e+12        1.7672748811e+12        2.3261552194e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
127             0               8               0               ok                      ok                      2.5026400964e-07        1.0000000000e+03        3.3700392559e+12        1.8126548431e+12        2.3261552992e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
128             0               8               0               ok                      ok                      2.5669027155e-07        1.0000000000e+03        3.4565750077e+12        1.8592000686e+12        2.3261553780e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
129             0               8               0               ok                      ok                      2.6328154656e-07        1.0000000000e+03        3.5453328201e+12        1.9069404792e+12        2.3261554559e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
130             0               8               0               ok                      ok                      2.7004207188e-07        1.0000000000e+03        3.6363697510e+12        1.9559067647e+12        2.3261555329e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
131             0               8               0               ok                      ok                      2.7697619350e-07        1.0000000000e+03        3.7297443236e+12        2.0061304032e+12        2.3261556090e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
132             0               8               0               ok                      ok                      2.8408836902e-07        1.0000000000e+03        3.8255165635e+12        2.0576436807e+12        2.3261556841e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
133             0               8               0               ok                      ok                      2.9138317048e-07        1.0000000000e+03        3.9237480381e+12        2.1104797127e+12        2.3261557583e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
134             0               8               0               ok                      ok                      2.9886528736e-07        1.0000000000e+03        4.0245018952e+12        2.1646724646e+12        2.3261558315e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
135             0               8               0               ok                      ok                      3.0653952951e-07        1.0000000000e+03        4.1278429046e+12        2.2202567742e+12        2.3261559039e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
136             0               8               0               ok                      ok                      3.1441083031e-07        1.0000000000e+03        4.2338374989e+12        2.2772683739e+12        2.3261559754e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
137             0               8               0               ok                      ok                      3.2248424984e-07        1.0000000000e+03        4.3425538168e+12        2.3357439135e+12        2.3261560460e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
138             0               8               0               ok                      ok                      3.3076497807e-07        1.0000000000e+03        4.4540617464e+12        2.3957209839e+12        2.3261561157e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
139             0               8               0               ok                      ok                      3.3925833827e-07        1.0000000000e+03        4.5684329705e+12        2.4572381414e+12        2.3261561845e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
140             0               8               0               ok                      ok                      3.4796979039e-07        1.0000000000e+03        4.6857410128e+12        2.5203349323e+12        2.3261562524e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
141             0               8               0               ok                      ok                      3.5690493457e-07        1.0000000000e+03        4.8060612845e+12        2.5850519181e+12        2.3261563194e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
142             0               8               0               ok                      ok                      3.6606951476e-07        1.0000000000e+03        4.9294711336e+12        2.6514307022e+12        2.3261563856e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
143             0               8               0               ok                      ok                      3.7546942241e-07        1.0000000000e+03        5.0560498939e+12        2.7195139562e+12        2.3261564509e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
144             0               8               0               ok                      ok                      3.8511070023e-07        1.0000000000e+03        5.1858789367e+12        2.7893454472e+12        2.3261565154e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
145             0               8               0               ok                      ok                      3.9499954612e-07        1.0000000000e+03        5.3190417223e+12        2.8609700664e+12        2.3261565790e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
146             0               8               0               ok                      ok                      4.0514231711e-07        1.0000000000e+03        5.4556238545e+12        2.9344338576e+12        2.3261566418e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
147             0               8               0               ok                      ok                      4.1554553347e-07        1.0000000000e+03        5.5957131350e+12        3.0097840470e+12        2.3261567037e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
148             0               8               0               ok                      ok                      4.2621588290e-07        1.0000000000e+03        5.7393996201e+12        3.0870690733e+12        2.3261567648e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
149             0               8               0               ok                      ok                      4.3716022482e-07        1.0000000000e+03        5.8867756786e+12        3.1663386192e+12        2.3261568251e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
150             0               8               0               ok                      ok                      4.4838559480e-07        1.0000000000e+03        6.0379360512e+12        3.2476436430e+12        2.3261568846e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
151             0               8               0               ok                      ok                      4.5989920905e-07        1.0000000000e+03        6.1929779111e+12        3.3310364115e+12        2.3261569432e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
152             0               8               0               ok                      ok                      4.7170846909e-07        1.0000000000e+03        6.3520009270e+12        3.4165705338e+12        2.3261570011e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
153             0               8               0               ok                      ok                      4.8382096649e-07        1.0000000000e+03        6.5151073268e+12        3.5043009953e+12        2.3261570582e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
154             0               8               0               ok                      ok                      4.9624448776e-07        1.0000000000e+03        6.6824019632e+12        3.5942841936e+12        2.3261571144e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
155             0               8               0               ok                      ok                      5.0898701935e-07        1.0000000000e+03        6.8539923816e+12        3.6865779742e+12        2.3261571700e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
156             0               8               0               ok                      ok                      5.2205675278e-07        1.0000000000e+03        7.0299888887e+12        3.7812416681e+12        2.3261572247e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
157             0               8               0               ok                      ok                      5.3546208993e-07        1.0000000000e+03        7.2105046238e+12        3.8783361298e+12        2.3261572787e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
158             0               8               0               ok                      ok                      5.4921164839e-07        1.0000000000e+03        7.3956556314e+12        3.9779237763e+12        2.3261573319e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
159             0               8               0               ok                      ok                      5.6331426706e-07        1.0000000000e+03        7.5855609357e+12        4.0800686276e+12        2.3261573844e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
160             0               8               0               ok                      ok                      5.7777901180e-07        1.0000000000e+03        7.7803426171e+12        4.1848363472e+12        2.3261574361e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
161             0               8               0               ok                      ok                      5.9261518125e-07        1.0000000000e+03        7.9801258910e+12        4.2922942851e+12        2.3261574872e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
162             0               8               0               ok                      ok                      6.0783231283e-07        1.0000000000e+03        8.1850391880e+12        4.4025115205e+12        2.3261575375e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
163             0               8               0               ok                      ok                      6.2344018886e-07        1.0000000000e+03        8.3952142364e+12        4.5155589064e+12        2.3261575871e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
164             0               8               0               ok                      ok                      6.3944884286e-07        1.0000000000e+03        8.6107861472e+12        4.6315091153e+12        2.3261576360e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
165             0               8               0               ok                      ok                      6.5586856596e-07        1.0000000000e+03        8.8318935006e+12        4.7504366856e+12        2.3261576842e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
166             0               8               0               ok                      ok                      6.7270991357e-07        1.0000000000e+03        9.0586784354e+12        4.8724180698e+12        2.3261577317e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
167             0               8               0               ok                      ok                      6.8998371214e-07        1.0000000000e+03        9.2912867401e+12        4.9975316836e+12        2.3261577786e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
168             0               8               0               ok                      ok                      7.0770106612e-07        1.0000000000e+03        9.5298679468e+12        5.1258579561e+12        2.3261578248e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
169             0               8               0               ok                      ok                      7.2587336508e-07        1.0000000000e+03        9.7745754274e+12        5.2574793817e+12        2.3261578703e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
170             0               8               0               ok                      ok                      7.4451229108e-07        1.0000000000e+03        1.0025566492e+13        5.3924805731e+12        2.3261579153e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
171             0               8               0               ok                      ok                      7.6362982613e-07        1.0000000000e+03        1.0283002490e+13        5.5309483158e+12        2.3261579596e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
172             0               8               0               ok                      ok                      7.8323825992e-07        1.0000000000e+03        1.0547048913e+13        5.6729716236e+12        2.3261580032e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
173             0               8               0               ok                      ok                      8.0335019771e-07        1.0000000000e+03        1.0817875505e+13        5.8186417961e+12        2.3261580463e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
174             0               8               0               ok                      ok                      8.2397856845e-07        1.0000000000e+03        1.1095656366e+13        5.9680524772e+12        2.3261580887e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
175             0               8               0               ok                      ok                      8.4513663307e-07        1.0000000000e+03        1.1380570066e+13        6.1212997153e+12        2.3261581306e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
176             0               8               0               ok                      ok                      8.6683799300e-07        1.0000000000e+03        1.1672799763e+13        6.2784820255e+12        2.3261581719e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
177             0               8               0               ok                      ok                      8.8909659895e-07        1.0000000000e+03        1.1972533317e+13        6.4397004521e+12        2.3261582126e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
178             0               8               0               ok                      ok                      9.1192675985e-07        1.0000000000e+03        1.2279963410e+13        6.6050586344e+12        2.3261582527e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
179             0               8               0               ok                      ok                      9.3534315203e-07        1.0000000000e+03        1.2595287675e+13        6.7746628725e+12        2.3261582923e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
180             0               8               0               ok                      ok                      9.5936082871e-07        1.0000000000e+03        1.2918708816e+13        6.9486221966e+12        2.3261583314e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
181             0               8               0               ok                      ok                      9.8399522963e-07        1.0000000000e+03        1.3250434746e+13        7.1270484361e+12        2.3261583699e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
182             0               8               0               ok                      ok                      1.0092621910e-06        1.0000000000e+03        1.3590678713e+13        7.3100562923e+12        2.3261584079e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
183             0               8               0               ok                      ok                      1.0351779556e-06        1.0000000000e+03        1.3939659445e+13        7.4977634115e+12        2.3261584453e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
184             0               8               0               ok                      ok                      1.0617591835e-06        1.0000000000e+03        1.4297601282e+13        7.6902904611e+12        2.3261584823e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
185             0               8               0               ok                      ok                      1.0890229623e-06        1.0000000000e+03        1.4664734327e+13        7.8877612070e+12        2.3261585188e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
186             0               8               0               ok                      ok                      1.1169868185e-06        1.0000000000e+03        1.5041294592e+13        8.0903025930e+12        2.3261585547e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
187             0               8               0               ok                      ok                      1.1456687286e-06        1.0000000000e+03        1.5427524149e+13        8.2980448227e+12        2.3261585902e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
188             0               8               0               ok                      ok                      1.1750871309e-06        1.0000000000e+03        1.5823671283e+13        8.5111214429e+12        2.3261586253e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
189             0               8               0               ok                      ok                      1.2052609369e-06        1.0000000000e+03        1.6229990660e+13        8.7296694299e+12        2.3261586598e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
190             0               8               0               ok                      ok                      1.2362095437e-06        1.0000000000e+03        1.6646743480e+13        8.9538292769e+12        2.3261586939e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
