#grid point     #iterations     #chem_iter      #cond_iter      converged               elem_conserved          p (bar)                 T (K)                   n_<tot> (cm-3)          n_g (cm-3)              m (u)                   e-      Al      Ar      C       Ca      Cl      Co      Cr      Cu      F       Fe      Ge      H       He      K       Mg      Mn      N       Na      Ne      Ni      O       P       S       Si      Ti      V       Zn      
20              0               8               0               ok                      ok                      1.6604286572e-08        1.0000000000e+03        2.2359062937e+11        1.2026435808e+11        2.3261382496e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
21              0               8               0               ok                      ok                      1.7030650293e-08        1.0000000000e+03        2.2933200238e+11        1.2335249794e+11        2.3261385368e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
22              0               8               0               ok                      ok                      1.7467962151e-08        1.0000000000e+03        2.3522080232e+11        1.2651993484e+11        2.3261388203e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
23              0               8               0               ok                      ok                      1.7916503274e-08        1.0000000000e+03        2.4126081481e+11        1.2976870496e+11        2.3261391001e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
24              0               8               0               ok                      ok                      1.8376562004e-08        1.0000000000e+03        2.4745592270e+11        1.3310089678e+11        2.3261393764e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
25              0               8               0               ok                      ok                      1.8848434090e-08        1.0000000000e+03        2.5381010849e+11        1.3651865239e+11        2.3261396491e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
26              0               8               0               ok                      ok                      1.9332422876e-08        1.0000000000e+03        2.6032745701e+11        1.4002416889e+11        2.3261399182e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
27              0               8               0               ok                      ok                      1.9828839491e-08        1.0000000000e+03        2.6701215792e+11        1.4361969980e+11        2.3261401840e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
28              0               8               0               ok                      ok                      2.0338003058e-08        1.0000000000e+03        2.7386850851e+11        1.4730755651e+11        2.3261404463e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
29              0               8               0               ok                      ok                      2.0860240892e-08        1.0000000000e+03        2.8090091637e+11        1.5109010974e+11        2.3261407052e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
30              0               8               0               ok                      ok                      2.1395888713e-08        1.0000000000e+03        2.8811390231e+11        1.5496979112e+11        2.3261409608e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
31              0               8               0               ok                      ok                      2.1945290862e-08        1.0000000000e+03        2.9551210319e+11        1.5894909468e+11        2.3261412132e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
32              0               8               0               ok                      ok                      2.2508800521e-08        1.0000000000e+03        3.0310027497e+11        1.6303057852e+11        2.3261414622e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
33              0               8               0               ok                      ok                      2.3086779942e-08        1.0000000000e+03        3.1088329570e+11        1.6721686643e+11        2.3261417081e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
34              0               8               0               ok                      ok                      2.3679600678e-08        1.0000000000e+03        3.1886616871e+11        1.7151064954e+11        2.3261419509e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
