#p (bar)        	T (K)           	n_<tot> (cm-3)  	n_g (cm-3)      	m (u)           	H2O1            	C1O2            	C1O1            	C1H4            	H3N1            
3.0653952951e-07	1.0000000000e+03	4.1278429046e+12	2.2202567742e+12	2.3261559039e+00	2.9451747076e-04	2.4623236871e-07	4.9479818080e-04	3.9214275793e-15	1.0975407639e-12
3.1441083031e-07	1.0000000000e+03	4.2338374989e+12	2.2772683739e+12	2.3261559754e+00	2.9451833624e-04	2.4623308745e-07	4.9479819524e-04	4.1253900901e-15	1.1257234407e-12
3.2248424984e-07	1.0000000000e+03	4.3425538168e+12	2.3357439135e+12	2.3261560460e+00	2.9451916438e-04	2.4623377504e-07	4.9479820952e-04	4.3399617038e-15	1.1546297917e-12
3.3076497807e-07	1.0000000000e+03	4.4540617464e+12	2.3957209839e+12	2.3261561157e+00	2.9451995553e-04	2.4623443176e-07	4.9479822364e-04	4.5656942755e-15	1.1842783994e-12
3.3925833827e-07	1.0000000000e+03	4.5684329705e+12	2.4572381414e+12	2.3261561845e+00	2.9452071001e-04	2.4623505788e-07	4.9479823760e-04	4.8031683675e-15	1.2146883235e-12
3.4796979039e-07	1.0000000000e+03	4.6857410128e+12	2.5203349323e+12	2.3261562524e+00	2.9452142813e-04	2.4623565366e-07	4.9479825141e-04	5.0529947423e-15	1.2458791129e-12
3.5690493457e-07	1.0000000000e+03	4.8060612845e+12	2.5850519181e+12	2.3261563194e+00	2.9452211020e-04	2.4623621936e-07	4.9479826506e-04	5.3158159342e-15	1.2778708187e-12
3.6606951476e-07	1.0000000000e+03	4.9294711336e+12	2.6514307022e+12	2.3261563856e+00	2.9452275651e-04	2.4623675522e-07	4.9479827856e-04	5.5923079013e-15	1.3106840068e-12
3.7546942241e-07	1.0000000000e+03	5.0560498939e+12	2.7195139562e+12	2.3261564509e+00	2.9452336737e-04	2.4623726148e-07	4.9479829190e-04	5.8831817650e-15	1.3443397712e-12
3.8511070023e-07	1.0000000000e+03	5.1858789367e+12	2.7893454472e+12	2.3261565154e+00	2.9452394304e-04	2.4623773838e-07	4.9479830509e-04	6.1891856389e-15	1.3788597475e-12
3.9499954612e-07	1.0000000000e+03	5.3190417223e+12	2.8609700664e+12	2.3261565790e+00	2.9452448380e-04	2.4623818614e-07	4.9479831814e-04	6.5111065531e-15	1.4142661269e-12
4.0514231711e-07	1.0000000000e+03	5.4556238545e+12	2.9344338576e+12	2.3261566418e+00	2.9452498992e-04	2.4623860499e-07	4.9479833103e-04	6.8497724790e-15	1.4505816705e-12
4.1554553347e-07	1.0000000000e+03	5.5957131350e+12	3.0097840470e+12	2.3261567037e+00	2.9452546165e-04	2.4623899514e-07	4.9479834378e-04	7.2060544588e-15	1.4878297237e-12
4.2621588290e-07	1.0000000000e+03	5.7393996201e+12	3.0870690733e+12	2.3261567648e+00	2.9452589926e-04	2.4623935679e-07	4.9479835637e-04	7.5808688463e-15	1.5260342314e-12
4.3716022482e-07	1.0000000000e+03	5.8867756786e+12	3.1663386192e+12	2.3261568251e+00	2.9452630297e-04	2.4623969016e-07	4.9479836883e-04	7.9751796642e-15	1.5652197535e-12
4.4838559480e-07	1.0000000000e+03	6.0379360512e+12	3.2476436430e+12	2.3261568846e+00	2.9452667304e-04	2.4623999544e-07	4.9479838113e-04	8.3900010835e-15	1.6054114804e-12
4.5989920905e-07	1.0000000000e+03	6.1929779111e+12	3.3310364115e+12	2.3261569432e+00	2.9452700969e-04	2.4624027283e-07	4.9479839330e-04	8.8264000329e-15	1.6466352494e-12
4.7170846909e-07	1.0000000000e+03	6.3520009270e+12	3.4165705338e+12	2.3261570011e+00	2.9452731315e-04	2.4624052250e-07	4.9479840532e-04	9.2854989431e-15	1.6889175613e-12
4.8382096649e-07	1.0000000000e+03	6.5151073268e+12	3.5043009953e+12	2.3261570582e+00	2.9452758363e-04	2.4624074465e-07	4.9479841720e-04	9.7684786338e-15	1.7322855971e-12
4.9624448776e-07	1.0000000000e+03	6.6824019632e+12	3.5942841936e+12	2.3261571144e+00	2.9452782135e-04	2.4624093944e-07	4.9479842895e-04	1.0276581352e-14	1.7767672362e-12
5.0898701935e-07	1.0000000000e+03	6.8539923816e+12	3.6865779742e+12	2.3261571700e+00	2.9452802651e-04	2.4624110705e-07	4.9479844055e-04	1.0811113966e-14	1.8223910735e-12
5.2205675278e-07	1.0000000000e+03	7.0299888887e+12	3.7812416681e+12	2.3261572247e+00	2.9452819931e-04	2.4624124765e-07	4.9479845202e-04	1.1373451331e-14	1.8691864384e-12
5.3546208993e-07	1.0000000000e+03	7.2105046238e+12	3.8783361298e+12	2.3261572787e+00	2.9452833995e-04	2.4624136139e-07	4.9479846336e-04	1.1965039820e-14	1.9171834132e-12
5.4921164839e-07	1.0000000000e+03	7.3956556314e+12	3.9779237763e+12	2.3261573319e+00	2.9452844861e-04	2.4624144843e-07	4.9479847456e-04	1.2587401049e-14	1.9664128530e-12
5.6331426706e-07	1.0000000000e+03	7.5855609357e+12	4.0800686276e+12	2.3261573844e+00	2.9452852547e-04	2.4624150892e-07	4.9479848564e-04	1.3242135791e-14	2.0169064048e-12
5.7777901180e-07	1.0000000000e+03	7.7803426171e+12	4.1848363472e+12	2.3261574361e+00	2.9452857069e-04	2.4624154300e-07	4.9479849658e-04	1.3930928093e-14	2.0686965286e-12
5.9261518125e-07	1.0000000000e+03	7.9801258910e+12	4.2922942851e+12	2.3261574872e+00	2.9452858446e-04	2.4624155081e-07	4.9479850740e-04	1.4655549606e-14	2.1218165174e-12
6.0783231283e-07	1.0000000000e+03	8.1850391880e+12	4.4025115205e+12	2.3261575375e+00	2.9452856692e-04	2.4624153249e-07	4.9479851809e-04	1.5417864146e-14	2.1763005197e-12
6.2344018886e-07	1.0000000000e+03	8.3952142364e+12	4.5155589064e+12	2.3261575871e+00	2.9452851824e-04	2.4624148816e-07	4.9479852865e-04	1.6219832488e-14	2.2321835605e-12
6.3944884286e-07	1.0000000000e+03	8.6107861472e+12	4.6315091153e+12	2.3261576360e+00	2.9452843854e-04	2.4624141793e-07	4.9479853910e-04	1.7063517410e-14	2.2895015642e-12
6.5586856596e-07	1.0000000000e+03	8.8318935006e+12	4.7504366856e+12	2.3261576842e+00	2.9452832798e-04	2.4624132193e-07	4.9479854942e-04	1.7951088997e-14	2.3482913777e-12
6.7270991357e-07	1.0000000000e+03	9.0586784354e+12	4.8724180698e+12	2.3261577317e+00	2.9452818667e-04	2.4624120027e-07	4.9479855963e-04	1.8884830228e-14	2.4085907941e-12
6.8998371214e-07	1.0000000000e+03	9.2912867401e+12	4.9975316836e+12	2.3261577786e+00	2.9452801474e-04	2.4624105303e-07	4.9479856972e-04	1.9867142846e-14	2.4704385768e-12
7.0770106612e-07	1.0000000000e+03	9.5298679468e+12	5.1258579561e+12	2.3261578248e+00	2.9452781231e-04	2.4624088032e-07	4.9479857970e-04	2.0900553537e-14	2.5338744849e-12
7.2587336508e-07	1.0000000000e+03	9.7745754274e+12	5.2574793817e+12	2.3261578703e+00	2.9452757947e-04	2.4624068223e-07	4.9479858956e-04	2.1987720431e-14	2.5989392980e-12
7.4451229108e-07	1.0000000000e+03	1.0025566492e+13	5.3924805731e+12	2.3261579153e+00	2.9452731633e-04	2.4624045884e-07	4.9479859931e-04	2.3131439941e-14	2.6656748431e-12
7.6362982613e-07	1.0000000000e+03	1.0283002490e+13	5.5309483158e+12	2.3261579596e+00	2.9452702297e-04	2.4624021021e-07	4.9479860896e-04	2.4334653957e-14	2.7341240212e-12
7.8323825992e-07	1.0000000000e+03	1.0547048913e+13	5.6729716236e+12	2.3261580032e+00	2.9452669948e-04	2.4623993642e-07	4.9479861850e-04	2.5600457410e-14	2.8043308349e-12
8.0335019771e-07	1.0000000000e+03	1.0817875505e+13	5.8186417961e+12	2.3261580463e+00	2.9452634591e-04	2.4623963751e-07	4.9479862793e-04	2.6932106240e-14	2.8763404167e-12
8.2397856845e-07	1.0000000000e+03	1.1095656366e+13	5.9680524772e+12	2.3261580887e+00	2.9452596233e-04	2.4623931355e-07	4.9479863726e-04	2.8333025772e-14	2.9501990578e-12
8.4513663307e-07	1.0000000000e+03	1.1380570066e+13	6.1212997153e+12	2.3261581306e+00	2.9452554878e-04	2.4623896458e-07	4.9479864649e-04	2.9806819524e-14	3.0259542385e-12
8.6683799300e-07	1.0000000000e+03	1.1672799763e+13	6.2784820255e+12	2.3261581719e+00	2.9452510532e-04	2.4623859062e-07	4.9479865562e-04	3.1357278480e-14	3.1036546579e-12
8.8909659895e-07	1.0000000000e+03	1.1972533317e+13	6.4397004521e+12	2.3261582126e+00	2.9452463197e-04	2.4623819170e-07	4.9479866466e-04	3.2988390846e-14	3.1833502658e-12
9.1192675985e-07	1.0000000000e+03	1.2279963410e+13	6.6050586344e+12	2.3261582527e+00	2.9452412874e-04	2.4623776784e-07	4.9479867360e-04	3.4704352305e-14	3.2650922945e-12
9.3534315203e-07	1.0000000000e+03	1.2595287675e+13	6.7746628725e+12	2.3261582923e+00	2.9452359566e-04	2.4623731904e-07	4.9479868245e-04	3.6509576818e-14	3.3489332919e-12
9.5936082871e-07	1.0000000000e+03	1.2918708816e+13	6.9486221966e+12	2.3261583314e+00	2.9452303270e-04	2.4623684531e-07	4.9479869121e-04	3.8408707973e-14	3.4349271553e-12
9.8399522963e-07	1.0000000000e+03	1.3250434746e+13	7.1270484361e+12	2.3261583699e+00	2.9452243987e-04	2.4623634664e-07	4.9479869988e-04	4.0406630937e-14	3.5231291657e-12
1.0092621910e-06	1.0000000000e+03	1.3590678713e+13	7.3100562923e+12	2.3261584079e+00	2.9452181714e-04	2.4623582299e-07	4.9479870846e-04	4.2508485024e-14	3.6135960240e-12
1.0351779556e-06	1.0000000000e+03	1.3939659445e+13	7.4977634115e+12	2.3261584453e+00	2.9452116447e-04	2.4623527435e-07	4.9479871696e-04	4.4719676916e-14	3.7063858867e-12
1.0617591835e-06	1.0000000000e+03	1.4297601282e+13	7.6902904611e+12	2.3261584823e+00	2.9452048182e-04	2.4623470068e-07	4.9479872538e-04	4.7045894575e-14	3.8015584038e-12
1.0890229623e-06	1.0000000000e+03	1.4664734327e+13	7.8877612070e+12	2.3261585188e+00	2.9451976912e-04	2.4623410192e-07	4.9479873372e-04	4.9493121874e-14	3.8991747571e-12
1.1169868185e-06	1.0000000000e+03	1.5041294592e+13	8.0903025930e+12	2.3261585547e+00	2.9451902631e-04	2.4623347801e-07	4.9479874197e-04	5.2067653999e-14	3.9992976991e-12
1.1456687286e-06	1.0000000000e+03	1.5427524149e+13	8.2980448227e+12	2.3261585902e+00	2.9451825330e-04	2.4623282889e-07	4.9479875016e-04	5.4776113641e-14	4.1019915940e-12
1.1750871309e-06	1.0000000000e+03	1.5823671283e+13	8.5111214429e+12	2.3261586253e+00	2.9451744999e-04	2.4623215448e-07	4.9479875826e-04	5.7625468035e-14	4.2073224585e-12
1.2052609369e-06	1.0000000000e+03	1.6229990660e+13	8.7296694299e+12	2.3261586598e+00	2.9451661628e-04	2.4623145468e-07	4.9479876630e-04	6.0623046891e-14	4.3153580047e-12
1.2362095437e-06	1.0000000000e+03	1.6646743480e+13	8.9538292769e+12	2.3261586939e+00	2.9451575205e-04	2.4623072940e-07	4.9479877426e-04	6.3776561249e-14	4.4261676832e-12
1.2679528468e-06	1.0000000000e+03	1.7074197654e+13	9.1837450850e+12	2.3261587276e+00	2.9451485717e-04	2.4622997852e-07	4.9479878215e-04	6.7094123321e-14	4.5398227280e-12
1.3005112522e-06	1.0000000000e+03	1.7512627969e+13	9.4195646553e+12	2.3261587608e+00	2.9451393148e-04	2.4622920192e-07	4.9479878998e-04	7.0584267365e-14	4.6563962022e-12
1.3339056900e-06	1.0000000000e+03	1.7962316270e+13	9.6614395841e+12	2.3261587936e+00	2.9451297483e-04	2.4622839947e-07	4.9479879774e-04	7.4255971641e-14	4.7759630452e-12
1.3681576280e-06	1.0000000000e+03	1.8423551640e+13	9.9095253607e+12	2.3261588260e+00	2.9451198705e-04	2.4622757102e-07	4.9479880544e-04	7.8118681513e-14	4.8986001206e-12
1.4032890848e-06	1.0000000000e+03	1.8896630582e+13	1.0163981467e+13	2.3261588580e+00	2.9451096794e-04	2.4622671643e-07	4.9479881308e-04	8.2182333758e-14	5.0243862655e-12
1.4393226447e-06	1.0000000000e+03	1.9381857217e+13	1.0424971479e+13	2.3261588895e+00	2.9450991732e-04	2.4622583551e-07	4.9479882065e-04	8.6457382126e-14	5.1534023417e-12
1.4762814719e-06	1.0000000000e+03	1.9879543470e+13	1.0692663174e+13	2.3261589207e+00	2.9450883497e-04	2.4622492810e-07	4.9479882817e-04	9.0954824244e-14	5.2857312871e-12
1.5141893253e-06	1.0000000000e+03	2.0390009281e+13	1.0967228639e+13	2.3261589515e+00	2.9450772065e-04	2.4622399401e-07	4.9479883563e-04	9.5686229915e-14	5.4214581695e-12
1.5530705739e-06	1.0000000000e+03	2.0913582800e+13	1.1248844376e+13	2.3261589819e+00	2.9450657414e-04	2.4622303302e-07	4.9479884304e-04	1.0066377089e-13	5.5606702408e-12
1.5929502126e-06	1.0000000000e+03	2.1450600607e+13	1.1537691423e+13	2.3261590119e+00	2.9450539517e-04	2.4622204494e-07	4.9479885040e-04	1.0590025217e-13	5.7034569935e-12
1.6338538778e-06	1.0000000000e+03	2.2001407925e+13	1.1833955464e+13	2.3261590415e+00	2.9450418347e-04	2.4622102953e-07	4.9479885770e-04	1.1140914500e-13	5.8499102182e-12
1.6758078645e-06	1.0000000000e+03	2.2566358838e+13	1.2137826953e+13	2.3261590708e+00	2.9450293877e-04	2.4621998656e-07	4.9479886495e-04	1.1720462148e-13	6.0001240624e-12
1.7188391428e-06	1.0000000000e+03	2.3145816525e+13	1.2449501233e+13	2.3261590997e+00	2.9450166077e-04	2.4621891579e-07	4.9479887216e-04	1.2330159108e-13	6.1541950909e-12
1.7629753753e-06	1.0000000000e+03	2.3740153491e+13	1.2769178664e+13	2.3261591283e+00	2.9450034915e-04	2.4621781694e-07	4.9479887932e-04	1.2971573898e-13	6.3122223483e-12
1.8082449349e-06	1.0000000000e+03	2.4349751803e+13	1.3097064749e+13	2.3261591566e+00	2.9449900360e-04	2.4621668976e-07	4.9479888644e-04	1.3646356642e-13	6.4743074226e-12
1.8546769231e-06	1.0000000000e+03	2.4975003343e+13	1.3433370271e+13	2.3261591845e+00	2.9449762376e-04	2.4621553394e-07	4.9479889351e-04	1.4356243322e-13	6.6405545101e-12
1.9023011887e-06	1.0000000000e+03	2.5616310053e+13	1.3778311422e+13	2.3261592121e+00	2.9449620928e-04	2.4621434920e-07	4.9479890055e-04	1.5103060239e-13	6.8110704828e-12
1.9511483468e-06	1.0000000000e+03	2.6274084197e+13	1.4132109949e+13	2.3261592393e+00	2.9449475979e-04	2.4621313523e-07	4.9479890754e-04	1.5888728718e-13	6.9859649569e-12
2.0012497990e-06	1.0000000000e+03	2.6948748623e+13	1.4494993289e+13	2.3261592663e+00	2.9449327491e-04	2.4621189170e-07	4.9479891450e-04	1.6715270046e-13	7.1653503632e-12
2.0526377527e-06	1.0000000000e+03	2.7640737041e+13	1.4867194723e+13	2.3261592929e+00	2.9449175424e-04	2.4621061828e-07	4.9479892142e-04	1.7584810683e-13	7.3493420198e-12
2.1053452428e-06	1.0000000000e+03	2.8350494293e+13	1.5248953519e+13	2.3261593193e+00	2.9449019735e-04	2.4620931462e-07	4.9479892831e-04	1.8499587724e-13	7.5380582056e-12
2.1594061521e-06	1.0000000000e+03	2.9078476648e+13	1.5640515092e+13	2.3261593453e+00	2.9448860382e-04	2.4620798035e-07	4.9479893516e-04	1.9461954667e-13	7.7316202369e-12
2.2148552337e-06	1.0000000000e+03	2.9825152088e+13	1.6042131155e+13	2.3261593711e+00	2.9448697320e-04	2.4620661512e-07	4.9479894199e-04	2.0474387460e-13	7.9301525450e-12
2.2717281330e-06	1.0000000000e+03	3.0591000612e+13	1.6454059888e+13	2.3261593965e+00	2.9448530503e-04	2.4620521852e-07	4.9479894878e-04	2.1539490880e-13	8.1337827565e-12
2.3300614107e-06	1.0000000000e+03	3.1376514547e+13	1.6876566098e+13	2.3261594217e+00	2.9448359882e-04	2.4620379015e-07	4.9479895555e-04	2.2660005234e-13	8.3426417749e-12
2.3898925662e-06	1.0000000000e+03	3.2182198860e+13	1.7309921394e+13	2.3261594466e+00	2.9448185409e-04	2.4620232962e-07	4.9479896229e-04	2.3838813412e-13	8.5568638655e-12
2.4512600620e-06	1.0000000000e+03	3.3008571483e+13	1.7754404356e+13	2.3261594713e+00	2.9448007032e-04	2.4620083648e-07	4.9479896901e-04	2.5078948307e-13	8.7765867408e-12
2.5142033481e-06	1.0000000000e+03	3.3856163651e+13	1.8210300722e+13	2.3261594957e+00	2.9447824698e-04	2.4619931029e-07	4.9479897570e-04	2.6383600620e-13	9.0019516496e-12
2.5787628876e-06	1.0000000000e+03	3.4725520236e+13	1.8677903563e+13	2.3261595198e+00	2.9447638353e-04	2.4619775061e-07	4.9479898237e-04	2.7756127075e-13	9.2331034679e-12
2.6449801824e-06	1.0000000000e+03	3.5617200106e+13	1.9157513477e+13	2.3261595437e+00	2.9447447942e-04	2.4619615696e-07	4.9479898902e-04	2.9200059054e-13	9.4701907916e-12
2.7128978004e-06	1.0000000000e+03	3.6531776475e+13	1.9649438781e+13	2.3261595674e+00	2.9447253406e-04	2.4619452885e-07	4.9479899566e-04	3.0719111692e-13	9.7133660322e-12
2.7825594022e-06	1.0000000000e+03	3.7469837278e+13	2.0153995709e+13	2.3261595908e+00	2.9447054685e-04	2.4619286581e-07	4.9479900227e-04	3.2317193435e-13	9.9627855150e-12
2.8540097698e-06	1.0000000000e+03	3.8431985548e+13	2.0671508615e+13	2.3261596139e+00	2.9446851719e-04	2.4619116730e-07	4.9479900888e-04	3.3998416101e-13	1.0218609579e-11
2.9272948350e-06	1.0000000000e+03	3.9418839800e+13	2.1202310182e+13	2.3261596369e+00	2.9446644445e-04	2.4618943281e-07	4.9479901547e-04	3.5767105464e-13	1.0481002682e-11
3.0024617091e-06	1.0000000000e+03	4.0431034433e+13	2.1746741634e+13	2.3261596596e+00	2.9446432799e-04	2.4618766179e-07	4.9479902204e-04	3.7627812393e-13	1.0750133501e-11
3.0795587129e-06	1.0000000000e+03	4.1469220136e+13	2.2305152960e+13	2.3261596821e+00	2.9446216713e-04	2.4618585370e-07	4.9479902861e-04	3.9585324556e-13	1.1026175049e-11
3.1586354083e-06	1.0000000000e+03	4.2534064306e+13	2.2877903133e+13	2.3261597044e+00	2.9445996119e-04	2.4618400796e-07	4.9479903517e-04	4.1644678757e-13	1.1309304778e-11
3.2397426295e-06	1.0000000000e+03	4.3626251478e+13	2.3465360345e+13	2.3261597265e+00	2.9445770949e-04	2.4618212398e-07	4.9479904172e-04	4.3811173890e-13	1.1599704699e-11
3.3229325164e-06	1.0000000000e+03	4.4746483762e+13	2.4067902243e+13	2.3261597483e+00	2.9445541129e-04	2.4618020117e-07	4.9479904826e-04	4.6090384586e-13	1.1897561495e-11
3.4082585474e-06	1.0000000000e+03	4.5895481301e+13	2.4685916170e+13	2.3261597700e+00	2.9445306587e-04	2.4617823890e-07	4.9479905480e-04	4.8488175563e-13	1.2203066642e-11
3.4957755744e-06	1.0000000000e+03	4.7073982726e+13	2.5319799416e+13	2.3261597915e+00	2.9445067246e-04	2.4617623656e-07	4.9479906134e-04	5.1010716720e-13	1.2516416536e-11
3.5855398575e-06	1.0000000000e+03	4.8282745636e+13	2.5969959472e+13	2.3261598128e+00	2.9444823029e-04	2.4617419348e-07	4.9479906788e-04	5.3664499026e-13	1.2837812614e-11
3.6776091016e-06	1.0000000000e+03	4.9522547084e+13	2.6636814292e+13	2.3261598339e+00	2.9444573858e-04	2.4617210902e-07	4.9479907441e-04	5.6456351223e-13	1.3167461484e-11
3.7720424934e-06	1.0000000000e+03	5.0794184075e+13	2.7320792565e+13	2.3261598548e+00	2.9444319650e-04	2.4616998248e-07	4.9479908095e-04	5.9393457414e-13	1.3505575061e-11
3.8689007393e-06	1.0000000000e+03	5.2098474080e+13	2.8022333984e+13	2.3261598755e+00	2.9444060322e-04	2.4616781318e-07	4.9479908750e-04	6.2483375554e-13	1.3852370702e-11
3.9682461046e-06	1.0000000000e+03	5.3436255562e+13	2.8741889536e+13	2.3261598961e+00	2.9443795790e-04	2.4616560040e-07	4.9479909405e-04	6.5734056906e-13	1.4208071344e-11
4.0701424532e-06	1.0000000000e+03	5.4808388513e+13	2.9479921785e+13	2.3261599165e+00	2.9443525966e-04	2.4616334341e-07	4.9479910060e-04	6.9153866519e-13	1.4572905650e-11
4.1746552893e-06	1.0000000000e+03	5.6215755006e+13	3.0236905175e+13	2.3261599367e+00	2.9443250761e-04	2.4616104146e-07	4.9479910717e-04	7.2751604759e-13	1.4947108153e-11
4.2818517987e-06	1.0000000000e+03	5.7659259768e+13	3.1013326332e+13	2.3261599568e+00	2.9442970084e-04	2.4615869380e-07	4.9479911374e-04	7.6536529970e-13	1.5330919409e-11
4.3918008926e-06	1.0000000000e+03	5.9139830754e+13	3.1809684377e+13	2.3261599767e+00	2.9442683842e-04	2.4615629965e-07	4.9479912033e-04	8.0518382311e-13	1.5724586152e-11
4.5045732518e-06	1.0000000000e+03	6.0658419748e+13	3.2626491250e+13	2.3261599965e+00	2.9442391938e-04	2.4615385820e-07	4.9479912693e-04	8.4707408837e-13	1.6128361449e-11
4.6202413718e-06	1.0000000000e+03	6.2216002974e+13	3.3464272033e+13	2.3261600161e+00	2.9442094276e-04	2.4615136864e-07	4.9479913355e-04	8.9114389880e-13	1.6542504869e-11
4.7388796097e-06	1.0000000000e+03	6.3813581724e+13	3.4323565292e+13	2.3261600356e+00	2.9441790756e-04	2.4614883014e-07	4.9479914018e-04	9.3750666812e-13	1.6967282642e-11
4.8605642321e-06	1.0000000000e+03	6.5452183001e+13	3.5204923425e+13	2.3261600550e+00	2.9441481276e-04	2.4614624185e-07	4.9479914683e-04	9.8628171243e-13	1.7402967838e-11
4.9853734639e-06	1.0000000000e+03	6.7132860178e+13	3.6108913010e+13	2.3261600742e+00	2.9441165732e-04	2.4614360289e-07	4.9479915350e-04	1.0375945575e-12	1.7849840536e-11
5.1133875384e-06	1.0000000000e+03	6.8856693677e+13	3.7036115178e+13	2.3261600933e+00	2.9440844018e-04	2.4614091239e-07	4.9479916019e-04	1.0915772621e-12	1.8308188010e-11
5.2446887495e-06	1.0000000000e+03	7.0624791665e+13	3.7987125978e+13	2.3261601123e+00	2.9440516026e-04	2.4613816943e-07	4.9479916690e-04	1.1483687577e-12	1.8778304906e-11
5.3793615040e-06	1.0000000000e+03	7.2438290761e+13	3.8962556768e+13	2.3261601311e+00	2.9440181644e-04	2.4613537308e-07	4.9479917364e-04	1.2081152069e-12	1.9260493441e-11
5.5174923761e-06	1.0000000000e+03	7.4298356773e+13	3.9963034603e+13	2.3261601498e+00	2.9439840760e-04	2.4613252241e-07	4.9479918041e-04	1.2709703790e-12	1.9755063588e-11
5.6591701632e-06	1.0000000000e+03	7.6206185442e+13	4.0989202638e+13	2.3261601685e+00	2.9439493259e-04	2.4612961645e-07	4.9479918720e-04	1.3370960470e-12	2.0262333283e-11
5.8044859428e-06	1.0000000000e+03	7.8163003216e+13	4.2041720544e+13	2.3261601870e+00	2.9439139022e-04	2.4612665421e-07	4.9479919403e-04	1.4066624033e-12	2.0782628623e-11
5.9535331308e-06	1.0000000000e+03	8.0170068034e+13	4.3121264933e+13	2.3261602054e+00	2.9438777930e-04	2.4612363469e-07	4.9479920088e-04	1.4798484985e-12	2.1316284081e-11
6.1064075422e-06	1.0000000000e+03	8.2228670136e+13	4.4228529787e+13	2.3261602237e+00	2.9438409860e-04	2.4612055688e-07	4.9479920777e-04	1.5568427025e-12	2.1863642717e-11
6.2632074522e-06	1.0000000000e+03	8.4340132893e+13	4.5364226912e+13	2.3261602419e+00	2.9438034688e-04	2.4611741971e-07	4.9479921470e-04	1.6378431899e-12	2.2425056400e-11
6.4240336594e-06	1.0000000000e+03	8.6505813658e+13	4.6529086389e+13	2.3261602600e+00	2.9437652286e-04	2.4611422214e-07	4.9479922166e-04	1.7230584497e-12	2.3000886035e-11
6.5889895508e-06	1.0000000000e+03	8.8727104638e+13	4.7723857047e+13	2.3261602781e+00	2.9437262524e-04	2.4611096307e-07	4.9479922866e-04	1.8127078233e-12	2.3591501795e-11
6.7581811682e-06	1.0000000000e+03	9.1005433789e+13	4.8949306943e+13	2.3261602960e+00	2.9436865270e-04	2.4610764140e-07	4.9479923570e-04	1.9070220686e-12	2.4197283356e-11
6.9317172762e-06	1.0000000000e+03	9.3342265732e+13	5.0206223857e+13	2.3261603139e+00	2.9436460390e-04	2.4610425601e-07	4.9479924278e-04	2.0062439550e-12	2.4818620146e-11
7.1097094323e-06	1.0000000000e+03	9.5739102699e+13	5.1495415796e+13	2.3261603317e+00	2.9436047747e-04	2.4610080574e-07	4.9479924990e-04	2.1106288885e-12	2.5455911590e-11
7.2922720587e-06	1.0000000000e+03	9.8197485496e+13	5.2817711516e+13	2.3261603494e+00	2.9435627199e-04	2.4609728943e-07	4.9479925707e-04	2.2204455697e-12	2.6109567371e-11
7.4795225156e-06	1.0000000000e+03	1.0071899449e+14	5.4173961055e+13	2.3261603670e+00	2.9435198605e-04	2.4609370588e-07	4.9479926429e-04	2.3359766861e-12	2.6780007693e-11
7.6715811768e-06	1.0000000000e+03	1.0330525064e+14	5.5565036275e+13	2.3261603846e+00	2.9434761820e-04	2.4609005389e-07	4.9479927156e-04	2.4575196402e-12	2.7467663547e-11
7.8685715069e-06	1.0000000000e+03	1.0595791651e+14	5.6991831428e+13	2.3261604021e+00	2.9434316696e-04	2.4608633222e-07	4.9479927887e-04	2.5853873157e-12	2.8172976993e-11
8.0706201411e-06	1.0000000000e+03	1.0867869737e+14	5.8455263729e+13	2.3261604196e+00	2.9433863083e-04	2.4608253960e-07	4.9479928624e-04	2.7199088838e-12	2.8896401442e-11
8.2778569662e-06	1.0000000000e+03	1.1146934227e+14	5.9956273942e+13	2.3261604370e+00	2.9433400828e-04	2.4607867477e-07	4.9479929366e-04	2.8614306511e-12	2.9638401948e-11
8.4904152041e-06	1.0000000000e+03	1.1433164517e+14	6.1495826992e+13	2.3261604544e+00	2.9432929774e-04	2.4607473642e-07	4.9479930114e-04	3.0103169520e-12	3.0399455505e-11
8.7084314977e-06	1.0000000000e+03	1.1726744611e+14	6.3074912579e+13	2.3261604717e+00	2.9432449764e-04	2.4607072322e-07	4.9479930868e-04	3.1669510872e-12	3.1180051357e-11
8.9320459986e-06	1.0000000000e+03	1.2027863236e+14	6.4694545816e+13	2.3261604890e+00	2.9431960636e-04	2.4606663383e-07	4.9479931628e-04	3.3317363118e-12	3.1980691309e-11
9.1614024571e-06	1.0000000000e+03	1.2336713967e+14	6.6355767883e+13	2.3261605063e+00	2.9431462227e-04	2.4606246688e-07	4.9479932393e-04	3.5050968740e-12	3.2801890054e-11
9.3966483150e-06	1.0000000000e+03	1.2653495348e+14	6.8059646695e+13	2.3261605235e+00	2.9430954369e-04	2.4605822097e-07	4.9479933165e-04	3.6874791083e-12	3.3644175498e-11
9.6379347996e-06	1.0000000000e+03	1.2978411021e+14	6.9807277589e+13	2.3261605407e+00	2.9430436894e-04	2.4605389468e-07	4.9479933944e-04	3.8793525863e-12	3.4508089106e-11
9.8854170219e-06	1.0000000000e+03	1.3311669858e+14	7.1599784029e+13	2.3261605579e+00	2.9429909628e-04	2.4604948659e-07	4.9479934729e-04	4.0812113260e-12	3.5394186243e-11
1.0139254076e-05	1.0000000000e+03	1.3653486096e+14	7.3438318324e+13	2.3261605750e+00	2.9429372397e-04	2.4604499521e-07	4.9479935521e-04	4.2935750654e-12	3.6303036538e-11
