#p (bar)        	T (K)           	n_<tot> (cm-3)  	n_g (cm-3)      	m (u)           	H2O1            	C1O2            	C1O1            	C1H4            	H3N1            
2.1945290862e-08	1.0000000000e+03	2.9551210319e+11	1.5894909468e+11	2.3261412132e+00	2.9406851174e-04	2.4585822109e-07	4.9479544638e-04	2.0127992183e-17	7.8571913185e-14
2.2508800521e-08	1.0000000000e+03	3.0310027497e+11	1.6303057852e+11	2.3261414622e+00	2.9407870670e-04	2.4586672321e-07	4.9479549051e-04	2.1174233091e-17	8.0589502952e-14
2.3086779942e-08	1.0000000000e+03	3.1088329570e+11	1.6721686643e+11	2.3261417081e+00	2.9408871971e-04	2.4587507348e-07	4.9479553412e-04	2.2274870614e-17	8.2658900588e-14
2.3679600678e-08	1.0000000000e+03	3.1886616871e+11	1.7151064954e+11	2.3261419509e+00	2.9409855322e-04	2.4588327392e-07	4.9479557721e-04	2.3432733480e-17	8.4781436416e-14
2.4287643825e-08	1.0000000000e+03	3.2705402580e+11	1.7591468813e+11	2.3261421905e+00	2.9410820964e-04	2.4589132657e-07	4.9479561979e-04	2.4650797534e-17	8.6958474921e-14
2.4911300261e-08	1.0000000000e+03	3.3545213054e+11	1.8043181330e+11	2.3261424271e+00	2.9411769142e-04	2.4589923345e-07	4.9479566188e-04	2.5932193387e-17	8.9191415622e-14
2.5550970904e-08	1.0000000000e+03	3.4406588166e+11	1.8506492891e+11	2.3261426606e+00	2.9412700098e-04	2.4590699660e-07	4.9479570347e-04	2.7280214469e-17	9.1481693977e-14
2.6207066965e-08	1.0000000000e+03	3.5290081651e+11	1.8981701334e+11	2.3261428911e+00	2.9413614073e-04	2.4591461803e-07	4.9479574457e-04	2.8698325497e-17	9.3830782303e-14
2.6880010215e-08	1.0000000000e+03	3.6196261465e+11	1.9469112146e+11	2.3261431187e+00	2.9414511308e-04	2.4592209975e-07	4.9479578519e-04	3.0190171382e-17	9.6240190724e-14
2.7570233256e-08	1.0000000000e+03	3.7125710147e+11	1.9969038659e+11	2.3261433434e+00	2.9415392045e-04	2.4592944377e-07	4.9479582533e-04	3.1759586602e-17	9.8711468139e-14
2.8278179796e-08	1.0000000000e+03	3.8079025192e+11	2.0481802251e+11	2.3261435652e+00	2.9416256521e-04	2.4593665208e-07	4.9479586501e-04	3.3410605062e-17	1.0124620322e-13
2.9004304939e-08	1.0000000000e+03	3.9056819440e+11	2.1007732551e+11	2.3261437842e+00	2.9417104976e-04	2.4594372669e-07	4.9479590422e-04	3.5147470466e-17	1.0384602544e-13
2.9749075472e-08	1.0000000000e+03	4.0059721469e+11	2.1547167652e+11	2.3261440004e+00	2.9417937645e-04	2.4595066955e-07	4.9479594298e-04	3.6974647232e-17	1.0651260610e-13
3.0512970172e-08	1.0000000000e+03	4.1088375993e+11	2.2100454331e+11	2.3261442139e+00	2.9418754765e-04	2.4595748264e-07	4.9479598128e-04	3.8896831966e-17	1.0924765942e-13
3.1296480107e-08	1.0000000000e+03	4.2143444284e+11	2.2667948267e+11	2.3261444246e+00	2.9419556570e-04	2.4596416792e-07	4.9479601915e-04	4.0918965544e-17	1.1205294366e-13
3.2100108955e-08	1.0000000000e+03	4.3225604594e+11	2.3250014273e+11	2.3261446327e+00	2.9420343292e-04	2.4597072733e-07	4.9479605657e-04	4.3046245816e-17	1.1493026218e-13
3.2924373330e-08	1.0000000000e+03	4.4335552591e+11	2.3847026529e+11	2.3261448381e+00	2.9421115162e-04	2.4597716279e-07	4.9479609357e-04	4.5284140967e-17	1.1788146471e-13
3.3769803108e-08	1.0000000000e+03	4.5474001805e+11	2.4459368825e+11	2.3261450410e+00	2.9421872409e-04	2.4598347622e-07	4.9479613014e-04	4.7638403586e-17	1.2090844842e-13
3.4636941774e-08	1.0000000000e+03	4.6641684089e+11	2.5087434803e+11	2.3261452413e+00	2.9422615262e-04	2.4598966952e-07	4.9479616628e-04	5.0115085453e-17	1.2401315923e-13
3.5526346766e-08	1.0000000000e+03	4.7839350090e+11	2.5731628217e+11	2.3261454390e+00	2.9423343945e-04	2.4599574458e-07	4.9479620202e-04	5.2720553100e-17	1.2719759301e-13
3.6438589838e-08	1.0000000000e+03	4.9067769727e+11	2.6392363184e+11	2.3261456343e+00	2.9424058682e-04	2.4600170326e-07	4.9479623734e-04	5.5461504186e-17	1.3046379690e-13
3.7374257424e-08	1.0000000000e+03	5.0327732692e+11	2.7070064458e+11	2.3261458270e+00	2.9424759696e-04	2.4600754742e-07	4.9479627226e-04	5.8344984718e-17	1.3381387057e-13
3.8333951018e-08	1.0000000000e+03	5.1620048951e+11	2.7765167698e+11	2.3261460174e+00	2.9425447205e-04	2.4601327888e-07	4.9479630679e-04	6.1378407169e-17	1.3724996765e-13
3.9318287557e-08	1.0000000000e+03	5.2945549272e+11	2.8478119752e+11	2.3261462054e+00	2.9426121428e-04	2.4601889947e-07	4.9479634092e-04	6.4569569540e-17	1.4077429704e-13
4.0327899822e-08	1.0000000000e+03	5.4305085753e+11	2.9209378938e+11	2.3261463911e+00	2.9426782579e-04	2.4602441099e-07	4.9479637466e-04	6.7926675412e-17	1.4438912437e-13
4.1363436841e-08	1.0000000000e+03	5.5699532374e+11	2.9959415348e+11	2.3261465744e+00	2.9427430871e-04	2.4602981521e-07	4.9479640803e-04	7.1458355041e-17	1.4809677345e-13
4.2425564307e-08	1.0000000000e+03	5.7129785555e+11	3.0728711140e+11	2.3261467554e+00	2.9428066516e-04	2.4603511389e-07	4.9479644101e-04	7.5173687552e-17	1.5189962774e-13
4.3514965009e-08	1.0000000000e+03	5.8596764735e+11	3.1517760857e+11	2.3261469342e+00	2.9428689722e-04	2.4604030878e-07	4.9479647363e-04	7.9082224287e-17	1.5580013194e-13
