# wavelength_um  flux
5.2167827793e-01 1.8558267489e-11
5.2376499104e-01 1.6882717214e-11
5.2586005100e-01 1.3608990234e-11
5.2796349121e-01 1.1346912077e-11
5.3007534517e-01 1.0495340548e-11
5.3219564655e-01 9.3203909615e-12
5.3432442914e-01 7.3870162494e-12
5.3646172685e-01 6.0986819146e-12
5.3860757376e-01 5.4569248068e-12
5.4076200406e-01 4.2979927024e-12
5.4292505207e-01 3.5049061925e-12
5.4509675228e-01 2.9451378417e-12
5.4727713929e-01 2.4642368717e-12
5.4946624785e-01 1.9260355445e-12
5.5166411284e-01 1.5846898935e-12
5.5387076929e-01 1.3341676413e-12
5.5608625237e-01 1.0673224469e-12
5.5831059738e-01 8.6128439417e-13
5.6054383977e-01 6.8421291798e-13
5.6278601513e-01 5.3517985582e-13
5.6503715919e-01 4.2609915432e-13
5.6729730782e-01 3.4092111842e-13
5.6956649705e-01 2.6265750916e-13
5.7184476304e-01 1.8306880382e-13
5.7413214209e-01 1.1956228125e-13
5.7642867066e-01 7.6170810493e-14
5.7873438535e-01 4.6700720450e-14
5.8104932289e-01 2.0589298262e-14
5.8337352018e-01 7.7300558427e-15
5.8570701426e-01 2.1550932797e-15
5.8804984232e-01 1.2328120972e-16
5.9040204169e-01 8.9845338579e-17
5.9276364985e-01 7.2013824999e-15
5.9513470445e-01 3.4702681206e-14
5.9751524327e-01 1.0840272360e-13
5.9990530424e-01 2.3797285961e-13
6.0230492546e-01 4.0853646988e-13
6.0471414516e-01 6.9815661322e-13
6.0713300174e-01 1.1892845266e-12
6.0956153375e-01 1.9496766827e-12
6.1199977988e-01 2.9332906889e-12
6.1444777900e-01 4.1948866035e-12
6.1690557012e-01 6.3356580838e-12
6.1937319240e-01 9.1426203817e-12
6.2185068517e-01 1.2185666380e-11
6.2433808791e-01 1.6174171133e-11
6.2683544026e-01 2.1484813577e-11
6.2934278202e-01 2.8786830602e-11
6.3186015315e-01 3.7011621550e-11
6.3438759376e-01 4.7086441104e-11
6.3692514414e-01 6.1038897627e-11
6.3947284472e-01 7.7782576543e-11
6.4203073609e-01 9.7458620183e-11
6.4459885904e-01 1.1745379295e-10
6.4717725447e-01 1.4075657744e-10
6.4976596349e-01 1.6972718978e-10
6.5236502735e-01 2.0263753032e-10
6.5497448746e-01 2.4475823554e-10
6.5759438541e-01 2.9925211857e-10
6.6022476295e-01 3.6133185032e-10
6.6286566200e-01 4.2123296739e-10
6.6551712465e-01 4.7869302537e-10
6.6817919315e-01 5.2069776025e-10
6.7085190992e-01 5.2050354731e-10
6.7353531756e-01 5.2951702120e-10
6.7622945883e-01 4.6344322250e-10
6.7893437666e-01 3.4332596859e-10
6.8165011417e-01 2.1795290338e-10
6.8437671463e-01 1.2434775050e-10
6.8711422149e-01 6.6590234592e-11
6.8986267837e-01 3.9169515241e-11
6.9262212908e-01 2.4905523012e-11
6.9539261760e-01 1.9500385055e-11
6.9817418807e-01 1.7240284291e-11
7.0096688482e-01 1.8358288194e-11
7.0377075236e-01 1.8435793413e-11
